# pulse height: 50
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	2
261	2
262	2
263	2
264	3
265	3
266	2
267	6
268	10
269	15
270	10
271	43
272	67
273	97
274	71
275	209
276	257
277	337
278	252
279	507
280	573
281	653
282	588
283	791
284	785
285	887
286	849
287	953
288	970
289	982
290	971
291	996
292	998
293	1000
294	999
295	1001
296	1001
297	1002
298	1002
299	1003
300	1003
301	1003
302	1003
303	1005
304	1005
305	1006
306	1005
307	1007
308	1009
309	1010
310	1009
311	1016
312	1020
313	1027
314	1021
315	1045
316	1058
317	1081
318	1064
319	1203
320	1298
321	1554
322	1351
323	2220
324	2543
325	3139
326	2577
327	4006
328	4237
329	4412
330	4248
331	4326
332	4105
333	3698
334	4097
335	2986
336	2581
337	2088
338	2540
339	1500
340	1341
341	1210
342	1332
343	1080
344	1043
345	1028
346	1049
347	1009
348	1004
349	1002
350	1005
351	1001
352	1000
353	1000
354	1000
355	1000
356	1000
357	1000
358	1000
359	999
360	999
361	999
362	999
363	999
364	999
365	999
366	999
367	999
368	999
369	998
370	999
371	996
372	993
373	989
374	994
375	977
376	960
377	949
378	963
379	891
380	876
381	827
382	879
383	732
384	661
385	609
386	693
387	462
388	373
389	311
390	376
391	179
392	117
393	76
394	112
395	36
396	24
397	15
398	22
399	6
400	5
401	3
402	6
403	2
404	2
405	1
406	1
407	1
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
