timestamp,medianEnergy,RunPeriod
1.5094e+09,3.0535e-06,30/10/2017
1.5094e+09,2.9542e-06,30/10/2017
1.5094e+09,3.0577e-06,30/10/2017
1.5094e+09,2.8532e-06,30/10/2017
1.5094e+09,2.908e-06,30/10/2017
1.5094e+09,2.8838e-06,30/10/2017
1.5094e+09,2.9067e-06,30/10/2017
1.5094e+09,3.1924e-06,30/10/2017
1.5094e+09,3.0771e-06,30/10/2017
1.5095e+09,2.841e-06,30/10/2017
1.5095e+09,2.8539e-06,30/10/2017
1.5095e+09,3.0283e-06,30/10/2017
1.5095e+09,2.9102e-06,30/10/2017
1.5095e+09,3.1522e-06,30/10/2017
1.5095e+09,3.0166e-06,30/10/2017
1.5095e+09,3.0401e-06,30/10/2017
1.5095e+09,2.8549e-06,30/10/2017
1.5095e+09,2.9708e-06,30/10/2017
1.5095e+09,2.8882e-06,30/10/2017
1.5095e+09,2.9558e-06,30/10/2017
1.5095e+09,3.1268e-06,30/10/2017
1.5095e+09,3.1248e-06,30/10/2017
1.5095e+09,2.9519e-06,30/10/2017
1.5096e+09,2.8424e-06,30/10/2017
1.5096e+09,2.7341e-06,30/10/2017
1.5096e+09,2.9889e-06,30/10/2017
1.5096e+09,3.0134e-06,30/10/2017
1.5096e+09,2.8063e-06,30/10/2017
1.5096e+09,2.7193e-06,30/10/2017
1.5096e+09,2.9979e-06,30/10/2017
1.5096e+09,2.8787e-06,30/10/2017
1.5096e+09,2.9999e-06,30/10/2017
1.5096e+09,2.8812e-06,30/10/2017
1.5096e+09,2.7943e-06,30/10/2017
1.5096e+09,2.8545e-06,30/10/2017
1.5096e+09,2.6991e-06,30/10/2017
1.5096e+09,2.7717e-06,30/10/2017
1.5097e+09,3.0392e-06,30/10/2017
1.5097e+09,2.8197e-06,30/10/2017
1.5097e+09,2.9657e-06,30/10/2017
1.5097e+09,2.7765e-06,30/10/2017
1.5097e+09,3.1118e-06,30/10/2017
1.5097e+09,2.8362e-06,30/10/2017
1.5097e+09,3.0777e-06,30/10/2017
1.5097e+09,2.7385e-06,30/10/2017
1.5097e+09,2.7764e-06,30/10/2017
1.5097e+09,2.863e-06,30/10/2017
1.5097e+09,2.7589e-06,30/10/2017
1.5097e+09,2.7574e-06,30/10/2017
1.5097e+09,3.1172e-06,30/10/2017
1.5097e+09,2.7628e-06,30/10/2017
1.5097e+09,2.9116e-06,30/10/2017
1.5098e+09,2.725e-06,30/10/2017
1.5098e+09,2.8346e-06,30/10/2017
1.5098e+09,2.9129e-06,30/10/2017
1.5098e+09,2.8637e-06,30/10/2017
1.5098e+09,2.7221e-06,30/10/2017
1.5098e+09,2.8717e-06,30/10/2017
1.5098e+09,2.7635e-06,30/10/2017
1.5098e+09,2.8038e-06,30/10/2017
1.5098e+09,2.8751e-06,30/10/2017
1.5098e+09,2.6971e-06,30/10/2017
1.5098e+09,2.7564e-06,30/10/2017
