timestamp,medianEnergy,RunPeriod
1.5094e+09,3.0052e-06,30/10/2017
1.5094e+09,3.0599e-06,30/10/2017
1.5094e+09,2.8443e-06,30/10/2017
1.5094e+09,2.8915e-06,30/10/2017
1.5094e+09,2.963e-06,30/10/2017
1.5094e+09,3.0716e-06,30/10/2017
1.5095e+09,2.8271e-06,30/10/2017
1.5095e+09,2.9746e-06,30/10/2017
1.5095e+09,2.9969e-06,30/10/2017
1.5095e+09,3.0388e-06,30/10/2017
1.5095e+09,3.0129e-06,30/10/2017
1.5095e+09,2.8931e-06,30/10/2017
1.5095e+09,2.8967e-06,30/10/2017
1.5095e+09,3.0329e-06,30/10/2017
1.5095e+09,3.0952e-06,30/10/2017
1.5096e+09,2.8232e-06,30/10/2017
1.5096e+09,2.7431e-06,30/10/2017
1.5096e+09,2.997e-06,30/10/2017
1.5096e+09,2.8193e-06,30/10/2017
1.5096e+09,2.8269e-06,30/10/2017
1.5096e+09,2.8513e-06,30/10/2017
1.5096e+09,2.9954e-06,30/10/2017
1.5096e+09,2.772e-06,30/10/2017
1.5096e+09,2.8157e-06,30/10/2017
1.5096e+09,2.8033e-06,30/10/2017
1.5097e+09,2.8889e-06,30/10/2017
1.5097e+09,2.8888e-06,30/10/2017
1.5097e+09,2.9749e-06,30/10/2017
1.5097e+09,3.5405e-06,30/10/2017
1.5097e+09,2.8845e-06,30/10/2017
1.5097e+09,2.8974e-06,30/10/2017
1.5097e+09,2.7759e-06,30/10/2017
1.5097e+09,2.8414e-06,30/10/2017
1.5097e+09,2.8836e-06,30/10/2017
1.5097e+09,3.2664e-06,30/10/2017
1.5097e+09,2.8186e-06,30/10/2017
1.5098e+09,2.7627e-06,30/10/2017
1.5098e+09,2.8639e-06,30/10/2017
1.5098e+09,2.8656e-06,30/10/2017
1.5098e+09,2.7526e-06,30/10/2017
1.5098e+09,2.8154e-06,30/10/2017
1.5098e+09,2.7964e-06,30/10/2017
1.5098e+09,2.7207e-06,30/10/2017
1.5098e+09,2.727e-06,30/10/2017
1.5098e+09,2.6062e-06,30/10/2017
1.5098e+09,2.775e-06,30/10/2017
1.5099e+09,2.7688e-06,30/10/2017
1.5099e+09,2.8085e-06,30/10/2017
1.5099e+09,2.7743e-06,30/10/2017
1.5099e+09,2.7896e-06,30/10/2017
1.5099e+09,2.7565e-06,30/10/2017
1.5099e+09,2.7672e-06,30/10/2017
1.5099e+09,2.6875e-06,30/10/2017
1.5099e+09,2.9541e-06,30/10/2017
1.5099e+09,2.8401e-06,30/10/2017
1.5099e+09,2.8792e-06,30/10/2017
1.51e+09,2.8982e-06,30/10/2017
1.51e+09,2.8738e-06,30/10/2017
1.51e+09,2.9794e-06,30/10/2017
1.51e+09,2.9519e-06,30/10/2017
1.51e+09,2.889e-06,30/10/2017
1.51e+09,3.0105e-06,30/10/2017
1.51e+09,2.9896e-06,30/10/2017
1.51e+09,2.8922e-06,30/10/2017
1.51e+09,2.8269e-06,30/10/2017
1.51e+09,2.8372e-06,30/10/2017
1.5101e+09,2.9167e-06,30/10/2017
1.5101e+09,2.8426e-06,30/10/2017
1.5101e+09,2.7315e-06,30/10/2017
1.5101e+09,2.7686e-06,30/10/2017
1.5101e+09,2.7477e-06,30/10/2017
1.5101e+09,2.8764e-06,30/10/2017
1.5101e+09,2.8173e-06,30/10/2017
1.5101e+09,2.8925e-06,30/10/2017
1.5101e+09,2.8716e-06,30/10/2017
1.5102e+09,2.7679e-06,30/10/2017
1.5102e+09,2.8433e-06,30/10/2017
1.5102e+09,3.0143e-06,30/10/2017
1.5102e+09,3.0131e-06,30/10/2017
1.5102e+09,2.9113e-06,30/10/2017
1.5102e+09,2.9435e-06,30/10/2017
1.5102e+09,2.8502e-06,30/10/2017
1.5102e+09,2.7912e-06,30/10/2017
1.5102e+09,2.8565e-06,30/10/2017
1.5102e+09,2.6131e-06,30/10/2017
1.5103e+09,2.7366e-06,30/10/2017
1.5103e+09,2.7929e-06,30/10/2017
1.5103e+09,2.8097e-06,30/10/2017
1.5103e+09,2.783e-06,30/10/2017
1.5103e+09,2.7325e-06,30/10/2017
1.5103e+09,2.8053e-06,30/10/2017
1.5103e+09,2.5959e-06,30/10/2017
1.5103e+09,2.7564e-06,30/10/2017
1.5103e+09,2.6885e-06,30/10/2017
1.5104e+09,2.7705e-06,30/10/2017
1.5104e+09,2.5231e-06,30/10/2017
1.5104e+09,2.8086e-06,30/10/2017
1.5104e+09,2.7914e-06,30/10/2017
1.5104e+09,2.6436e-06,30/10/2017
1.5104e+09,2.7674e-06,30/10/2017
1.5104e+09,2.7398e-06,30/10/2017
1.5104e+09,2.7856e-06,30/10/2017
1.5104e+09,2.8908e-06,30/10/2017
1.5104e+09,2.7278e-06,30/10/2017
1.5105e+09,2.5937e-06,30/10/2017
1.5105e+09,2.7947e-06,30/10/2017
1.5105e+09,2.6233e-06,30/10/2017
1.5105e+09,2.7349e-06,30/10/2017
1.5105e+09,2.7929e-06,30/10/2017
1.5105e+09,2.7304e-06,30/10/2017
1.5105e+09,2.8067e-06,30/10/2017
1.5106e+09,2.7688e-06,30/10/2017
1.5106e+09,2.8894e-06,30/10/2017
1.5106e+09,2.9176e-06,30/10/2017
1.5106e+09,2.6964e-06,30/10/2017
1.5106e+09,3.1264e-06,30/10/2017
1.5106e+09,3.0622e-06,30/10/2017
1.5106e+09,2.7959e-06,30/10/2017
