timestamp,medianEnergy,RunPeriod
1.5094e+09,2.9943e-06,30/10/2017
1.5094e+09,2.926e-06,30/10/2017
1.5094e+09,2.9536e-06,30/10/2017
1.5094e+09,2.9609e-06,30/10/2017
1.5095e+09,2.8821e-06,30/10/2017
1.5095e+09,3.0554e-06,30/10/2017
1.5095e+09,2.9453e-06,30/10/2017
1.5095e+09,2.9285e-06,30/10/2017
1.5095e+09,3.1024e-06,30/10/2017
1.5096e+09,2.7728e-06,30/10/2017
1.5096e+09,2.9804e-06,30/10/2017
1.5096e+09,2.7694e-06,30/10/2017
1.5096e+09,2.8901e-06,30/10/2017
1.5096e+09,2.8795e-06,30/10/2017
1.5096e+09,2.7709e-06,30/10/2017
1.5097e+09,2.9194e-06,30/10/2017
1.5097e+09,2.9221e-06,30/10/2017
1.5097e+09,2.9127e-06,30/10/2017
1.5097e+09,2.7719e-06,30/10/2017
1.5097e+09,2.8317e-06,30/10/2017
1.5097e+09,3.2448e-06,30/10/2017
1.5097e+09,2.7944e-06,30/10/2017
1.5098e+09,2.8539e-06,30/10/2017
1.5098e+09,2.7993e-06,30/10/2017
1.5098e+09,2.8109e-06,30/10/2017
1.5098e+09,2.7691e-06,30/10/2017
1.5098e+09,2.6893e-06,30/10/2017
1.5098e+09,2.7466e-06,30/10/2017
1.5099e+09,2.8297e-06,30/10/2017
1.5099e+09,2.763e-06,30/10/2017
1.5099e+09,2.7449e-06,30/10/2017
1.5099e+09,2.7173e-06,30/10/2017
1.5099e+09,2.9711e-06,30/10/2017
1.5099e+09,2.7701e-06,30/10/2017
1.51e+09,2.9131e-06,30/10/2017
1.51e+09,2.9689e-06,30/10/2017
1.51e+09,2.9234e-06,30/10/2017
1.51e+09,2.9246e-06,30/10/2017
1.51e+09,2.8637e-06,30/10/2017
1.5101e+09,2.8579e-06,30/10/2017
1.5101e+09,2.8605e-06,30/10/2017
1.5101e+09,2.6696e-06,30/10/2017
1.5101e+09,2.8191e-06,30/10/2017
1.5101e+09,2.8539e-06,30/10/2017
1.5101e+09,2.8209e-06,30/10/2017
