timestamp,medianEnergy,RunPeriod
1.5094e+09,2.9252e-06,30/10/2017
1.5094e+09,3.0382e-06,30/10/2017
1.5094e+09,3.004e-06,30/10/2017
1.5094e+09,3.361e-06,30/10/2017
1.5094e+09,2.7757e-06,30/10/2017
1.5094e+09,2.9512e-06,30/10/2017
1.5094e+09,2.9508e-06,30/10/2017
1.5094e+09,3.0984e-06,30/10/2017
1.5094e+09,2.8612e-06,30/10/2017
1.5094e+09,3.2501e-06,30/10/2017
1.5094e+09,3.1199e-06,30/10/2017
1.5094e+09,2.8665e-06,30/10/2017
1.5094e+09,2.9319e-06,30/10/2017
1.5094e+09,3.0132e-06,30/10/2017
1.5094e+09,2.7495e-06,30/10/2017
1.5094e+09,2.9101e-06,30/10/2017
1.5094e+09,2.7159e-06,30/10/2017
1.5094e+09,2.9683e-06,30/10/2017
1.5094e+09,3.0547e-06,30/10/2017
1.5094e+09,2.9148e-06,30/10/2017
1.5094e+09,3.0221e-06,30/10/2017
1.5094e+09,2.6622e-06,30/10/2017
1.5094e+09,3.1448e-06,30/10/2017
1.5094e+09,2.798e-06,30/10/2017
1.5094e+09,2.7024e-06,30/10/2017
1.5094e+09,3.0354e-06,30/10/2017
1.5094e+09,2.7039e-06,30/10/2017
1.5094e+09,3.0086e-06,30/10/2017
1.5094e+09,3.3364e-06,30/10/2017
1.5094e+09,3.5164e-06,30/10/2017
1.5094e+09,2.9964e-06,30/10/2017
1.5094e+09,3.0764e-06,30/10/2017
1.5094e+09,3.0481e-06,30/10/2017
1.5094e+09,2.9089e-06,30/10/2017
1.5094e+09,3.0569e-06,30/10/2017
1.5094e+09,2.9244e-06,30/10/2017
1.5095e+09,3.1456e-06,30/10/2017
1.5095e+09,2.7797e-06,30/10/2017
1.5095e+09,3.0406e-06,30/10/2017
1.5095e+09,2.4733e-06,30/10/2017
1.5095e+09,2.7264e-06,30/10/2017
1.5095e+09,3.237e-06,30/10/2017
1.5095e+09,2.8074e-06,30/10/2017
1.5095e+09,2.6776e-06,30/10/2017
1.5095e+09,3.0232e-06,30/10/2017
1.5095e+09,2.9863e-06,30/10/2017
1.5095e+09,3.0447e-06,30/10/2017
1.5095e+09,2.6354e-06,30/10/2017
1.5095e+09,3.2031e-06,30/10/2017
1.5095e+09,3.122e-06,30/10/2017
1.5095e+09,2.8525e-06,30/10/2017
1.5095e+09,3.0621e-06,30/10/2017
1.5095e+09,3.2474e-06,30/10/2017
1.5095e+09,2.9948e-06,30/10/2017
1.5095e+09,3.2797e-06,30/10/2017
1.5095e+09,3.0655e-06,30/10/2017
1.5095e+09,2.9281e-06,30/10/2017
1.5095e+09,3.1039e-06,30/10/2017
1.5095e+09,2.9367e-06,30/10/2017
1.5095e+09,3.0086e-06,30/10/2017
1.5095e+09,3.426e-06,30/10/2017
1.5095e+09,2.8073e-06,30/10/2017
1.5095e+09,3.07e-06,30/10/2017
1.5095e+09,2.8704e-06,30/10/2017
1.5095e+09,2.9879e-06,30/10/2017
1.5095e+09,2.8844e-06,30/10/2017
1.5095e+09,2.8024e-06,30/10/2017
