timestamp,medianEnergy,RunPeriod
1.5094e+09,2.9508e-06,30/10/2017
1.5094e+09,3.2122e-06,30/10/2017
1.5094e+09,2.905e-06,30/10/2017
1.5094e+09,3.1386e-06,30/10/2017
1.5094e+09,2.9953e-06,30/10/2017
1.5094e+09,3.155e-06,30/10/2017
1.5094e+09,3.047e-06,30/10/2017
1.5094e+09,2.7742e-06,30/10/2017
1.5094e+09,2.833e-06,30/10/2017
1.5094e+09,2.9153e-06,30/10/2017
1.5094e+09,2.8766e-06,30/10/2017
1.5094e+09,2.9565e-06,30/10/2017
1.5094e+09,2.9862e-06,30/10/2017
1.5094e+09,2.9149e-06,30/10/2017
1.5094e+09,3.2575e-06,30/10/2017
1.5094e+09,3.0974e-06,30/10/2017
1.5094e+09,3.1399e-06,30/10/2017
1.5094e+09,2.9925e-06,30/10/2017
1.5095e+09,3.0091e-06,30/10/2017
1.5095e+09,2.7752e-06,30/10/2017
1.5095e+09,2.7835e-06,30/10/2017
1.5095e+09,2.9644e-06,30/10/2017
1.5095e+09,2.9755e-06,30/10/2017
1.5095e+09,3.0789e-06,30/10/2017
1.5095e+09,2.7994e-06,30/10/2017
1.5095e+09,3.0842e-06,30/10/2017
1.5095e+09,3.1694e-06,30/10/2017
1.5095e+09,3.0899e-06,30/10/2017
1.5095e+09,2.9157e-06,30/10/2017
1.5095e+09,3.1316e-06,30/10/2017
1.5095e+09,3.2403e-06,30/10/2017
1.5095e+09,2.9109e-06,30/10/2017
1.5095e+09,2.9009e-06,30/10/2017
1.5095e+09,2.8117e-06,30/10/2017
1.5095e+09,2.9598e-06,30/10/2017
1.5095e+09,3.0023e-06,30/10/2017
1.5095e+09,2.9624e-06,30/10/2017
1.5095e+09,2.8075e-06,30/10/2017
1.5095e+09,2.9465e-06,30/10/2017
1.5095e+09,2.9499e-06,30/10/2017
1.5095e+09,2.931e-06,30/10/2017
1.5095e+09,3.4042e-06,30/10/2017
1.5095e+09,3.1805e-06,30/10/2017
1.5095e+09,2.9475e-06,30/10/2017
1.5095e+09,2.9904e-06,30/10/2017
1.5095e+09,2.9702e-06,30/10/2017
