timestamp,medianEnergy,RunPeriod
1.5094e+09,2.9946e-06,30/10/2017
1.5094e+09,3.0352e-06,30/10/2017
1.5094e+09,2.9746e-06,30/10/2017
1.5094e+09,3.1431e-06,30/10/2017
1.5094e+09,2.8803e-06,30/10/2017
1.5094e+09,2.8203e-06,30/10/2017
1.5094e+09,2.9543e-06,30/10/2017
1.5094e+09,2.832e-06,30/10/2017
1.5094e+09,2.9498e-06,30/10/2017
1.5094e+09,3.0344e-06,30/10/2017
1.5094e+09,3.1277e-06,30/10/2017
1.5094e+09,2.9756e-06,30/10/2017
1.5095e+09,3.0014e-06,30/10/2017
1.5095e+09,2.7208e-06,30/10/2017
1.5095e+09,2.929e-06,30/10/2017
1.5095e+09,3.1282e-06,30/10/2017
1.5095e+09,2.9356e-06,30/10/2017
1.5095e+09,3.0624e-06,30/10/2017
1.5095e+09,3.038e-06,30/10/2017
1.5095e+09,3.0152e-06,30/10/2017
1.5095e+09,3.2064e-06,30/10/2017
1.5095e+09,2.8785e-06,30/10/2017
1.5095e+09,2.8698e-06,30/10/2017
1.5095e+09,2.9072e-06,30/10/2017
1.5095e+09,2.9551e-06,30/10/2017
1.5095e+09,2.8674e-06,30/10/2017
1.5095e+09,2.8927e-06,30/10/2017
1.5095e+09,3.2819e-06,30/10/2017
1.5095e+09,3.1947e-06,30/10/2017
1.5095e+09,2.9396e-06,30/10/2017
1.5096e+09,2.9835e-06,30/10/2017
1.5096e+09,2.783e-06,30/10/2017
1.5096e+09,2.7291e-06,30/10/2017
1.5096e+09,2.8603e-06,30/10/2017
1.5096e+09,2.9787e-06,30/10/2017
1.5096e+09,3.0006e-06,30/10/2017
1.5096e+09,2.8122e-06,30/10/2017
1.5096e+09,2.7221e-06,30/10/2017
1.5096e+09,2.8685e-06,30/10/2017
1.5096e+09,3.3937e-06,30/10/2017
1.5096e+09,2.88e-06,30/10/2017
1.5096e+09,2.8534e-06,30/10/2017
1.5096e+09,3.0214e-06,30/10/2017
1.5096e+09,2.9907e-06,30/10/2017
1.5096e+09,2.8031e-06,30/10/2017
1.5096e+09,2.6895e-06,30/10/2017
1.5096e+09,2.9824e-06,30/10/2017
1.5096e+09,2.6707e-06,30/10/2017
1.5096e+09,2.7133e-06,30/10/2017
1.5096e+09,2.9111e-06,30/10/2017
1.5097e+09,3.0213e-06,30/10/2017
1.5097e+09,2.8297e-06,30/10/2017
1.5097e+09,2.8266e-06,30/10/2017
1.5097e+09,3.0098e-06,30/10/2017
1.5097e+09,2.8638e-06,30/10/2017
1.5097e+09,3.0873e-06,30/10/2017
1.5097e+09,2.8917e-06,30/10/2017
1.5097e+09,2.8818e-06,30/10/2017
1.5097e+09,3.0117e-06,30/10/2017
1.5097e+09,2.6796e-06,30/10/2017
1.5097e+09,2.6622e-06,30/10/2017
1.5097e+09,2.8837e-06,30/10/2017
1.5097e+09,2.8214e-06,30/10/2017
1.5097e+09,2.8791e-06,30/10/2017
1.5097e+09,2.6841e-06,30/10/2017
1.5097e+09,3.0814e-06,30/10/2017
1.5097e+09,3.2374e-06,30/10/2017
