Energy,Counts,CountErr,Rate,totalTime,RateErr,File,ε_total,ε_eff,Classifier,Scinti,FADC,Septem,Line
9.8,14,3.7416574,2.4628757e-05,3158.0066,0.65823122,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
10,7,2.6457513,1.2314378e-05,3158.0066,0.46543976,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
10.2,6,2.4494897,1.0555182e-05,3158.0066,0.43091348,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
10.4,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
10.6,6,2.4494897,1.0555182e-05,3158.0066,0.43091348,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
10.8,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
11,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
11.2,4,2,7.0367877e-06,3158.0066,0.35183938,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
11.4,1,1,1.75919692e-06,3158.0066,0.17591969,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
11.6,0,0,0,3158.0066,0,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
11.8,2,1.4142136,3.51839385e-06,3158.0066,0.24878801,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
12,0,0,0,3158.0066,0,MLP@0.95,0.80067873,0.9568089,MLP,true,true,false,true
