diffFlux,Energy,type
2.41123745e+20,1.5919546,Total flux
2.39134961e+20,1.6019606,Total flux
2.3749733e+20,1.6119666,Total flux
2.37687722e+20,1.6219726,Total flux
2.34753796e+20,1.6319787,Total flux
2.33596005e+20,1.6419847,Total flux
2.32472587e+20,1.6519907,Total flux
2.3187051e+20,1.6619967,Total flux
2.30388319e+20,1.6720027,Total flux
2.29336367e+20,1.6820087,Total flux
2.28194857e+20,1.6920147,Total flux
2.27785147e+20,1.7020207,Total flux
2.26878772e+20,1.7120267,Total flux
2.27683233e+20,1.7220327,Total flux
2.26912273e+20,1.7320387,Total flux
2.25368956e+20,1.7420447,Total flux
2.25487018e+20,1.7520507,Total flux
2.26953299e+20,1.7620567,Total flux
2.25133236e+20,1.7720627,Total flux
2.25282673e+20,1.7820687,Total flux
2.25969653e+20,1.7920747,Total flux
2.27247013e+20,1.8020807,Total flux
2.29141562e+20,1.8120867,Total flux
2.32046098e+20,1.8220927,Total flux
2.36935333e+20,1.8320987,Total flux
2.45313222e+20,1.8421047,Total flux
2.51741084e+20,1.8521107,Total flux
2.70206637e+20,1.8621167,Total flux
2.37300005e+20,1.8721227,Total flux
2.26384575e+20,1.8821288,Total flux
2.20139988e+20,1.8921348,Total flux
2.15930642e+20,1.9021408,Total flux
2.12438764e+20,1.9121468,Total flux
2.09633063e+20,1.9221528,Total flux
2.07776133e+20,1.9321588,Total flux
2.06203025e+20,1.9421648,Total flux
2.05489098e+20,1.9521708,Total flux
2.04059357e+20,1.9621768,Total flux
2.02498179e+20,1.9721828,Total flux
2.01307484e+20,1.9821888,Total flux
2.03084272e+20,1.9921948,Total flux
2.27837241e+20,2.0022008,Total flux
1.99168459e+20,2.0122068,Total flux
1.9729259e+20,2.0222128,Total flux
1.96130023e+20,2.0322188,Total flux
1.95195994e+20,2.0422248,Total flux
1.9380219e+20,2.0522308,Total flux
1.91272018e+20,2.0622368,Total flux
1.89781491e+20,2.0722428,Total flux
1.88746967e+20,2.0822488,Total flux
1.87584701e+20,2.0922548,Total flux
1.86527905e+20,2.1022608,Total flux
1.85595724e+20,2.1122668,Total flux
1.84674176e+20,2.1222728,Total flux
1.83771049e+20,2.1322789,Total flux
1.82832065e+20,2.1422849,Total flux
1.81885256e+20,2.1522909,Total flux
1.81023832e+20,2.1622969,Total flux
1.80288752e+20,2.1723029,Total flux
1.79343644e+20,2.1823089,Total flux
1.78201246e+20,2.1923149,Total flux
1.77177878e+20,2.2023209,Total flux
1.76154941e+20,2.2123269,Total flux
1.75182891e+20,2.2223329,Total flux
1.74257651e+20,2.2323389,Total flux
1.73346e+20,2.2423449,Total flux
1.72441901e+20,2.2523509,Total flux
1.71564786e+20,2.2623569,Total flux
1.70715554e+20,2.2723629,Total flux
1.69901637e+20,2.2823689,Total flux
1.69127909e+20,2.2923749,Total flux
1.68402062e+20,2.3023809,Total flux
1.67739861e+20,2.3123869,Total flux
1.67164955e+20,2.3223929,Total flux
1.66696429e+20,2.3323989,Total flux
1.66358119e+20,2.3424049,Total flux
1.66203686e+20,2.3524109,Total flux
1.661888e+20,2.3624169,Total flux
1.6643872e+20,2.3724229,Total flux
1.67095844e+20,2.382429,Total flux
1.68017924e+20,2.392435,Total flux
1.69490673e+20,2.402441,Total flux
1.72111462e+20,2.412447,Total flux
1.78289194e+20,2.422453,Total flux
1.86145111e+20,2.432459,Total flux
1.93401342e+20,2.442465,Total flux
2.17287672e+20,2.452471,Total flux
1.83928971e+20,2.462477,Total flux
1.71031367e+20,2.472483,Total flux
1.64075868e+20,2.482489,Total flux
1.59596005e+20,2.492495,Total flux
1.56379439e+20,2.502501,Total flux
1.53908474e+20,2.512507,Total flux
