diffFlux,Energy,type
2.35902786e+20,1.5919546,Total flux
2.33957064e+20,1.6019606,Total flux
2.32354892e+20,1.6119666,Total flux
2.32541161e+20,1.6219726,Total flux
2.29670763e+20,1.6319787,Total flux
2.2853804e+20,1.6419847,Total flux
2.27438947e+20,1.6519907,Total flux
2.26849907e+20,1.6619967,Total flux
2.25399809e+20,1.6720027,Total flux
2.24370635e+20,1.6820087,Total flux
2.23253842e+20,1.6920147,Total flux
2.22853003e+20,1.7020207,Total flux
2.21966253e+20,1.7120267,Total flux
2.22753296e+20,1.7220327,Total flux
2.21999029e+20,1.7320387,Total flux
2.20489129e+20,1.7420447,Total flux
2.20604634e+20,1.7520507,Total flux
2.22039167e+20,1.7620567,Total flux
2.20258513e+20,1.7720627,Total flux
2.20404714e+20,1.7820687,Total flux
2.21076819e+20,1.7920747,Total flux
2.22326521e+20,1.8020807,Total flux
2.24180048e+20,1.8120867,Total flux
2.27021694e+20,1.8220927,Total flux
2.31805064e+20,1.8320987,Total flux
2.4000155e+20,1.8421047,Total flux
2.46290231e+20,1.8521107,Total flux
2.64355957e+20,1.8621167,Total flux
2.3216184e+20,1.8721227,Total flux
2.21482757e+20,1.8821288,Total flux
2.15373382e+20,1.8921348,Total flux
2.11255179e+20,1.9021408,Total flux
2.07838909e+20,1.9121468,Total flux
2.05093959e+20,1.9221528,Total flux
2.03277236e+20,1.9321588,Total flux
2.01738191e+20,1.9421648,Total flux
2.01039722e+20,1.9521708,Total flux
1.99640939e+20,1.9621768,Total flux
1.98113564e+20,1.9721828,Total flux
1.96948651e+20,1.9821888,Total flux
1.98686967e+20,1.9921948,Total flux
2.22903969e+20,2.0022008,Total flux
1.94855941e+20,2.0122068,Total flux
1.93020689e+20,2.0222128,Total flux
1.91883295e+20,2.0322188,Total flux
1.9096949e+20,2.0422248,Total flux
1.89605866e+20,2.0522308,Total flux
1.87130479e+20,2.0622368,Total flux
1.85672225e+20,2.0722428,Total flux
1.84660101e+20,2.0822488,Total flux
1.83523001e+20,2.0922548,Total flux
1.82489088e+20,2.1022608,Total flux
1.81577092e+20,2.1122668,Total flux
1.80675498e+20,2.1222728,Total flux
1.79791926e+20,2.1322789,Total flux
1.78873273e+20,2.1422849,Total flux
1.77946964e+20,2.1522909,Total flux
1.77104193e+20,2.1622969,Total flux
1.76385029e+20,2.1723029,Total flux
1.75460385e+20,2.1823089,Total flux
1.74342723e+20,2.1923149,Total flux
1.73341514e+20,2.2023209,Total flux
1.72340726e+20,2.2123269,Total flux
1.71389723e+20,2.2223329,Total flux
1.70484517e+20,2.2323389,Total flux
1.69592606e+20,2.2423449,Total flux
1.68708083e+20,2.2523509,Total flux
1.6784996e+20,2.2623569,Total flux
1.67019116e+20,2.2723629,Total flux
1.66222823e+20,2.2823689,Total flux
1.65465848e+20,2.2923749,Total flux
1.64755717e+20,2.3023809,Total flux
1.64107854e+20,2.3123869,Total flux
1.63545397e+20,2.3223929,Total flux
1.63087015e+20,2.3323989,Total flux
1.62756031e+20,2.3424049,Total flux
1.62604942e+20,2.3524109,Total flux
1.62590378e+20,2.3624169,Total flux
1.62834887e+20,2.3724229,Total flux
1.63477782e+20,2.382429,Total flux
1.64379896e+20,2.392435,Total flux
1.65820757e+20,2.402441,Total flux
1.68384798e+20,2.412447,Total flux
1.74428767e+20,2.422453,Total flux
1.82114583e+20,2.432459,Total flux
1.89213697e+20,2.442465,Total flux
2.12582826e+20,2.452471,Total flux
1.79946428e+20,2.462477,Total flux
1.6732809e+20,2.472483,Total flux
1.60523196e+20,2.482489,Total flux
1.56140335e+20,2.492495,Total flux
1.52993415e+20,2.502501,Total flux
1.50575953e+20,2.512507,Total flux
1.48699486e+20,2.522513,Total flux
1.47401873e+20,2.532519,Total flux
1.46074938e+20,2.542525,Total flux
1.44732201e+20,2.552531,Total flux
1.4352452e+20,2.562537,Total flux
1.42418744e+20,2.572543,Total flux
1.41274323e+20,2.582549,Total flux
1.40258837e+20,2.592555,Total flux
1.40349288e+20,2.602561,Total flux
1.78412554e+20,2.612567,Total flux
1.38463665e+20,2.622573,Total flux
1.36654978e+20,2.6325791,Total flux
1.35804804e+20,2.6425851,Total flux
1.35023293e+20,2.6525911,Total flux
1.34136888e+20,2.6625971,Total flux
1.33287182e+20,2.6726031,Total flux
1.32457353e+20,2.6826091,Total flux
1.31412505e+20,2.6926151,Total flux
1.30186628e+20,2.7026211,Total flux
1.29249498e+20,2.7126271,Total flux
1.28418338e+20,2.7226331,Total flux
1.27635367e+20,2.7326391,Total flux
1.26877172e+20,2.7426451,Total flux
1.26141071e+20,2.7526511,Total flux
1.25416675e+20,2.7626571,Total flux
1.24708865e+20,2.7726631,Total flux
1.24007888e+20,2.7826691,Total flux
1.23310831e+20,2.7926751,Total flux
1.2262073e+20,2.8026811,Total flux
1.21936604e+20,2.8126871,Total flux
1.21261713e+20,2.8226931,Total flux
1.20577999e+20,2.8326991,Total flux
1.1989678e+20,2.8427051,Total flux
1.19261056e+20,2.8527111,Total flux
1.18676201e+20,2.8627171,Total flux
1.18100253e+20,2.8727231,Total flux
1.17334835e+20,2.8827292,Total flux
1.16546456e+20,2.8927352,Total flux
1.1579018e+20,2.9027412,Total flux
1.15056211e+20,2.9127472,Total flux
1.14345122e+20,2.9227532,Total flux
1.13658042e+20,2.9327592,Total flux
1.12970485e+20,2.9427652,Total flux
1.12284785e+20,2.9527712,Total flux
1.11609484e+20,2.9627772,Total flux
1.10948508e+20,2.9727832,Total flux
1.10307717e+20,2.9827892,Total flux
1.09689986e+20,2.9927952,Total flux
1.09102723e+20,3.0028012,Total flux
1.0854676e+20,3.0128072,Total flux
1.08032326e+20,3.0228132,Total flux
1.07563095e+20,3.0328192,Total flux
1.07145776e+20,3.0428252,Total flux
1.0677445e+20,3.0528312,Total flux
1.06425171e+20,3.0628372,Total flux
1.06168818e+20,3.0728432,Total flux
1.06129277e+20,3.0828492,Total flux
1.0648415e+20,3.0928552,Total flux
1.07511291e+20,3.1028612,Total flux
1.09341935e+20,3.1128672,Total flux
1.11920705e+20,3.1228732,Total flux
1.08905973e+20,3.1328793,Total flux
1.04133062e+20,3.1428853,Total flux
1.0162009e+20,3.1528913,Total flux
9.99724374e+19,3.1628973,Total flux
9.8719972e+19,3.1729033,Total flux
9.76787949e+19,3.1829093,Total flux
9.7249269e+19,3.1929153,Total flux
9.64030505e+19,3.2029213,Total flux
9.56139794e+19,3.2129273,Total flux
9.48706329e+19,3.2229333,Total flux
9.41764395e+19,3.2329393,Total flux
9.3545003e+19,3.2429453,Total flux
9.28685677e+19,3.2529513,Total flux
9.21979527e+19,3.2629573,Total flux
9.15429233e+19,3.2729633,Total flux
9.08913258e+19,3.2829693,Total flux
9.03088009e+19,3.2929753,Total flux
9.11768553e+19,3.3029813,Total flux
8.93996696e+19,3.3129873,Total flux
8.84383283e+19,3.3229933,Total flux
8.78245979e+19,3.3329993,Total flux
8.72330788e+19,3.3430053,Total flux
8.66429397e+19,3.3530113,Total flux
8.60613101e+19,3.3630173,Total flux
8.54468194e+19,3.3730233,Total flux
8.48147752e+19,3.3830294,Total flux
8.42294341e+19,3.3930354,Total flux
8.36646727e+19,3.4030414,Total flux
8.31109935e+19,3.4130474,Total flux
8.25659592e+19,3.4230534,Total flux
8.20278288e+19,3.4330594,Total flux
8.14961944e+19,3.4430654,Total flux
8.09697726e+19,3.4530714,Total flux
8.04485427e+19,3.4630774,Total flux
7.99308847e+19,3.4730834,Total flux
7.94172047e+19,3.4830894,Total flux
7.89081052e+19,3.4930954,Total flux
7.84031645e+19,3.5031014,Total flux
7.79038776e+19,3.5131074,Total flux
7.74096118e+19,3.5231134,Total flux
7.69195182e+19,3.5331194,Total flux
7.64337721e+19,3.5431254,Total flux
7.59515417e+19,3.5531314,Total flux
7.54734065e+19,3.5631374,Total flux
7.50004755e+19,3.5731434,Total flux
7.4532339e+19,3.5831494,Total flux
7.40692154e+19,3.5931554,Total flux
7.36119336e+19,3.6031614,Total flux
7.31623003e+19,3.6131674,Total flux
7.27163393e+19,3.6231734,Total flux
7.22702683e+19,3.6331795,Total flux
7.18338744e+19,3.6431855,Total flux
7.14074459e+19,3.6531915,Total flux
7.09872899e+19,3.6631975,Total flux
7.05592474e+19,3.6732035,Total flux
7.01161959e+19,3.6832095,Total flux
6.96838777e+19,3.6932155,Total flux
6.92652561e+19,3.7032215,Total flux
6.88583721e+19,3.7132275,Total flux
6.84640571e+19,3.7232335,Total flux
6.80841416e+19,3.7332395,Total flux
6.77255105e+19,3.7432455,Total flux
6.73914583e+19,3.7532515,Total flux
6.70863712e+19,3.7632575,Total flux
6.68186659e+19,3.7732635,Total flux
6.6592107e+19,3.7832695,Total flux
6.64062239e+19,3.7932755,Total flux
6.62512355e+19,3.8032815,Total flux
6.60778436e+19,3.8132875,Total flux
6.58638653e+19,3.8232935,Total flux
6.57478198e+19,3.8332995,Total flux
6.59068888e+19,3.8433055,Total flux
6.65454688e+19,3.8533115,Total flux
6.80025958e+19,3.8633175,Total flux
7.07489398e+19,3.8733235,Total flux
7.41903634e+19,3.8833296,Total flux
6.75294966e+19,3.8933356,Total flux
6.44033411e+19,3.9033416,Total flux
6.27303362e+19,3.9133476,Total flux
6.16089536e+19,3.9233536,Total flux
6.07584515e+19,3.9333596,Total flux
6.00562174e+19,3.9433656,Total flux
5.94415229e+19,3.9533716,Total flux
5.88837744e+19,3.9633776,Total flux
5.83701796e+19,3.9733836,Total flux
5.78886205e+19,3.9833896,Total flux
5.74250345e+19,3.9933956,Total flux
5.69797445e+19,4.0034016,Total flux
