# Energy/eV     Transmission
# C3H6 Density=0.9 Thickness=10. microns
    5624.4      0.98986
    5644.4      0.98997
    5664.3      0.99008
    5684.3      0.99018
    5704.3      0.99029
    5724.3      0.99039
    5744.3      0.99050
    5764.2      0.99060
    5784.2      0.99070
    5804.2      0.99080
    5824.2      0.99089
    5844.2      0.99099
    5864.1      0.99108
    5884.1      0.99118
    5904.1      0.99127
    5924.1      0.99136
    5944.1      0.99145
    5964.0      0.99154
    5984.0      0.99162
    6004.0      0.99171
    6024.0      0.99179
    6044.0      0.99188
    6063.9      0.99196
    6083.9      0.99204
    6103.9      0.99212
    6123.9      0.99220
    6143.9      0.99228
    6163.8      0.99235
    6183.8      0.99243
    6203.8      0.99251
    6223.8      0.99258
    6243.8      0.99265
    6263.7      0.99273
    6283.7      0.99280
    6303.7      0.99287
    6323.7      0.99294
    6343.7      0.99301
    6363.6      0.99307
    6383.6      0.99314
    6403.6      0.99321
    6423.6      0.99327
    6443.6      0.99334
    6463.5      0.99340
    6483.5      0.99346
    6503.5      0.99352
    6523.5      0.99358
    6543.5      0.99364
    6563.4      0.99370
    6583.4      0.99376
    6603.4      0.99382
    6623.4      0.99388
    6643.4      0.99394
    6663.3      0.99399
    6683.3      0.99405
    6703.3      0.99410
    6723.3      0.99416
    6743.3      0.99421
    6763.2      0.99426
    6783.2      0.99431
    6803.2      0.99437
    6823.2      0.99442
    6843.2      0.99447
    6863.1      0.99452
    6883.1      0.99456
    6903.1      0.99461
    6923.1      0.99466
    6943.1      0.99471
    6963.0      0.99476
    6983.0      0.99480
    7003.0      0.99485
    7023.0      0.99489
    7043.0      0.99494
    7062.9      0.99498
    7082.9      0.99502
    7102.9      0.99507
    7122.9      0.99511
    7142.9      0.99515
    7162.8      0.99519
    7182.8      0.99524
    7202.8      0.99528
    7222.8      0.99532
    7242.8      0.99536
    7262.7      0.99540
    7282.7      0.99543
    7302.7      0.99547
    7322.7      0.99551
    7342.7      0.99555
    7362.6      0.99559
    7382.6      0.99562
    7402.6      0.99566
    7422.6      0.99569
    7442.6      0.99573
    7462.5      0.99576
    7482.5      0.99580
    7502.5      0.99583
    7522.5      0.99587
    7542.5      0.99590
    7562.4      0.99593
    7582.4      0.99597
    7602.4      0.99600
    7622.4      0.99603
    7642.4      0.99606
    7662.3      0.99610
    7682.3      0.99613
    7702.3      0.99616
    7722.3      0.99619
    7742.3      0.99622
    7762.2      0.99625
    7782.2      0.99628
    7802.2      0.99631
    7822.2      0.99634
    7842.2      0.99636
    7862.1      0.99639
    7882.1      0.99642
    7902.1      0.99645
    7922.1      0.99648
    7942.1      0.99650
    7962.0      0.99653
    7982.0      0.99656
    8002.0      0.99658
    8022.0      0.99661
    8042.0      0.99663
    8061.9      0.99666
    8081.9      0.99669
    8101.9      0.99671
    8121.9      0.99674
    8141.9      0.99676
    8161.8      0.99678
    8181.8      0.99681
    8201.8      0.99683
    8221.8      0.99686
    8241.8      0.99688
    8261.7      0.99690
    8281.7      0.99692
    8301.7      0.99695
    8321.7      0.99697
    8341.7      0.99699
    8361.6      0.99701
    8381.6      0.99704
    8401.6      0.99706
    8421.6      0.99708
    8441.6      0.99710
    8461.5      0.99712
    8481.5      0.99714
    8501.5      0.99716
    8521.5      0.99718
    8541.5      0.99720
    8561.4      0.99722
    8581.4      0.99724
    8601.4      0.99726
    8621.4      0.99728
    8641.4      0.99730
    8661.3      0.99732
    8681.3      0.99734
    8701.3      0.99736
    8721.3      0.99737
    8741.3      0.99739
    8761.2      0.99741
    8781.2      0.99743
    8801.2      0.99745
    8821.2      0.99746
    8841.2      0.99748
    8861.1      0.99750
    8881.1      0.99751
    8901.1      0.99753
    8921.1      0.99755
    8941.1      0.99757
    8961.0      0.99758
    8981.0      0.99760
    9001.0      0.99761
    9021.0      0.99763
    9041.0      0.99765
    9060.9      0.99766
    9080.9      0.99768
    9100.9      0.99769
    9120.9      0.99771
    9140.9      0.99772
    9160.8      0.99774
    9180.8      0.99775
    9200.8      0.99777
    9220.8      0.99778
    9240.8      0.99780
    9260.7      0.99781
    9280.7      0.99782
    9300.7      0.99784
    9320.7      0.99785
    9340.7      0.99787
    9360.6      0.99788
    9380.6      0.99789
    9400.6      0.99791
    9420.6      0.99792
    9440.6      0.99793
    9460.5      0.99795
    9480.5      0.99796
    9500.5      0.99797
    9520.5      0.99799
    9540.5      0.99800
    9560.4      0.99801
    9580.4      0.99802
    9600.4      0.99804
    9620.4      0.99805
    9640.4      0.99806
    9660.3      0.99807
    9680.3      0.99808
    9700.3      0.99809
