Energy[keV],EffectiveArea[cm²]
5.454,2.39
5.466,2.384
5.477,2.332
5.488,2.332
5.499,2.332
5.511,2.32
5.522,2.285
5.533,2.291
5.544,2.291
5.555,2.297
5.567,2.297
5.578,2.262
5.589,2.233
5.6,2.239
5.612,2.245
5.623,2.175
5.634,2.186
5.645,2.186
5.656,2.186
5.668,2.186
5.679,2.14
5.69,2.122
5.701,2.122
5.712,2.105
5.724,2.058
5.735,2.058
5.746,2.058
5.757,2.058
5.769,2.058
5.78,2
5.791,1.994
5.802,1.994
5.813,1.994
5.825,1.918
5.836,1.918
5.847,1.924
5.858,1.936
5.87,1.924
5.881,1.86
5.892,1.866
5.903,1.842
5.914,1.836
5.926,1.79
5.937,1.796
5.948,1.801
5.959,1.807
5.971,1.801
5.982,1.743
5.993,1.737
6.004,1.726
6.015,1.72
6.027,1.667
6.038,1.667
6.049,1.667
6.06,1.667
6.072,1.667
6.083,1.603
6.094,1.603
6.105,1.603
6.116,1.545
6.128,1.545
6.139,1.545
6.15,1.545
6.161,1.545
6.173,1.545
6.184,1.487
6.195,1.487
6.206,1.487
6.217,1.428
6.229,1.428
6.24,1.428
6.251,1.428
6.262,1.428
6.273,1.382
6.285,1.376
6.296,1.37
6.307,1.376
6.318,1.312
6.33,1.312
6.341,1.312
6.352,1.312
6.363,1.312
6.374,1.312
6.386,1.253
6.397,1.248
6.408,1.248
6.419,1.183
6.431,1.189
6.442,1.189
6.453,1.189
6.464,1.189
6.475,1.154
6.487,1.143
6.498,1.131
6.509,1.131
6.52,1.073
6.532,1.073
6.543,1.073
6.554,1.073
6.565,1.073
6.576,1.009
6.588,1.014
6.599,1.014
6.61,1.009
6.621,0.9619
6.633,0.9619
6.644,0.9619
6.655,0.9736
6.666,0.9736
6.677,0.9153
6.689,0.9095
6.7,0.9153
6.711,0.9095
6.722,0.8628
6.734,0.8628
6.745,0.8687
6.756,0.8628
6.767,0.8628
6.778,0.8104
6.79,0.8045
6.801,0.8045
6.812,0.8045
6.823,0.7579
6.835,0.7754
6.846,0.7637
6.857,0.7695
6.868,0.7695
6.879,0.7404
6.891,0.7229
6.902,0.7229
6.913,0.6996
6.924,0.6763
6.935,0.6763
6.947,0.6821
6.958,0.6821
6.969,0.6821
6.98,0.6471
6.992,0.6413
7.003,0.6413
7.014,0.6413
7.025,0.5947
7.036,0.5947
7.048,0.6005
7.059,0.6005
7.07,0.6063
7.081,0.5713
7.093,0.5597
7.104,0.5597
7.115,0.5538
7.126,0.513
7.137,0.513
7.149,0.513
7.16,0.513
7.171,0.5189
7.182,0.4722
7.194,0.4781
7.205,0.4664
7.216,0.4664
7.227,0.4314
7.238,0.4314
7.25,0.4314
7.261,0.4372
7.272,0.4431
7.283,0.4023
7.295,0.3964
7.306,0.3964
7.317,0.3789
7.328,0.3615
7.339,0.3615
7.351,0.3615
7.362,0.3673
7.373,0.3615
7.384,0.3323
7.396,0.3323
7.407,0.3323
7.418,0.3032
7.429,0.3032
7.44,0.3032
7.452,0.2973
7.463,0.3032
7.474,0.3032
7.485,0.2682
7.496,0.274
7.508,0.274
7.519,0.2449
7.53,0.239
7.541,0.239
7.553,0.239
7.564,0.239
7.575,0.239
7.586,0.2157
7.597,0.2215
7.609,0.2157
7.62,0.1924
7.631,0.1924
7.642,0.1924
7.654,0.1924
7.665,0.1924
7.676,0.1982
7.687,0.1749
7.698,0.1691
7.71,0.1691
7.721,0.1457
7.732,0.1516
7.743,0.1516
7.755,0.1516
7.766,0.1516
7.777,0.1283
7.788,0.1283
7.799,0.1283
7.811,0.1224
7.822,0.1108
7.833,0.1166
7.844,0.1166
7.856,0.1166
7.867,0.1166
7.878,0.1166
7.889,0.09911
7.9,0.1049
7.912,0.09911
7.923,0.09328
7.934,0.09911
7.945,0.09328
7.957,0.09328
7.968,0.09328
7.979,0.08745
7.99,0.08162
8.001,0.08162
8.013,0.08162
8.024,0.08162
8.035,0.08162
8.046,0.08162
8.058,0.08162
8.069,0.08162
8.08,0.07579
8.091,0.07579
8.102,0.07579
8.114,0.07579
8.125,0.06413
8.136,0.06413
8.147,0.06413
8.158,0.06413
8.17,0.06413
8.181,0.06413
8.192,0.0583
8.203,0.0583
8.215,0.0583
8.226,0.0583
8.237,0.0583
8.248,0.0583
8.259,0.0583
8.271,0.0583
8.282,0.0583
8.293,0.0583
8.304,0.0583
8.316,0.0583
8.327,0.0583
8.338,0.0583
8.349,0.05247
8.36,0.05247
8.372,0.05247
8.383,0.05247
8.394,0.04664
8.405,0.04664
8.417,0.04664
8.428,0.04664
8.439,0.04664
8.45,0.04664
8.461,0.04664
8.473,0.04664
8.484,0.04664
8.495,0.04664
8.506,0.04664
8.518,0.04664
8.529,0.04664
8.54,0.04664
8.551,0.04664
8.562,0.04664
8.574,0.04664
8.585,0.04664
8.596,0.04664
8.607,0.04664
8.619,0.04664
8.63,0.04664
8.641,0.04664
8.652,0.04081
8.663,0.02915
8.675,0.02915
8.686,0.02915
8.697,0.02915
8.708,0.02915
8.719,0.02915
8.731,0.02915
8.742,0.02332
8.753,0.02332
8.764,0.02332
8.776,0.02332
8.787,0.02332
8.798,0.02332
8.809,0.02332
8.82,0.02332
8.832,0.02332
8.843,0.02332
8.854,0.02332
8.865,0.02332
8.877,0.02332
8.888,0.02332
8.899,0.02332
8.91,0.02332
8.921,0.02332
8.933,0.02332
8.944,0.02332
8.955,0.02332
8.966,0.02332
8.978,0.02332
8.989,0.02332
9,0.02332
