# pulse height: 50
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1.00391
270	1.00391
271	1.00781
272	1.02344
273	1.04297
274	1.04687
275	1.125
276	1.10156
277	1.20703
278	1.24219
279	1.39844
280	1.46875
281	1.55078
282	1.60156
283	1.77734
284	1.91016
285	2.07422
286	2.19922
287	2.34766
288	2.47266
289	2.74219
290	3.20703
291	4.09766
292	5.21484
293	7.82031
294	9.12891
295	14.9687
296	23.7773
297	43.2109
298	67.0469
299	109.797
300	148.477
301	198.254
302	258.727
303	339.891
304	426.18
305	507.379
306	584.789
307	670.648
308	742.844
309	796.805
310	861.191
311	906.699
312	937.738
313	960.316
314	973.859
315	986.422
316	993.34
317	996.492
318	998.57
319	999.883
320	1000.57
321	1000.76
322	1000.95
323	1000.95
324	1000.98
325	1000.99
326	1000.99
327	1001
328	1001
329	1001
330	1001
331	1001
332	1001
333	1001
334	1001
335	1001
336	1001
337	1001
338	1001
339	1001
340	1001
341	1001
342	1001
343	1001
344	1001
345	1001
346	1001
347	1001
348	1001
349	1001
350	1001
351	1001
352	1001.01
353	1001.01
354	1001.01
355	1001.02
356	1001.03
357	1001.03
358	1001.05
359	1001.06
360	1001.06
361	1001.09
362	1001.13
363	1001.26
364	1001.29
365	1001.5
366	1001.69
367	1002.06
368	1002.41
369	1002.89
370	1004.23
371	1004.69
372	1006.63
373	1010.77
374	1017.23
375	1029.82
376	1054.99
377	1097.61
378	1213.27
379	1359.75
380	1605.55
381	2068.95
382	2834.87
383	3356.01
384	4047.94
385	4695.18
386	5335.63
387	5529.97
388	5432.34
389	5095.96
390	4487.77
391	3855.15
392	3248.01
393	2596.3
394	2101.73
395	1800.4
396	1451.97
397	1295.84
398	1165.66
399	1070.11
400	1033.27
401	1014.14
402	1006.23
403	1002.64
404	1001.29
405	1000.46
406	1000.28
407	1000.06
408	1000.03
409	1000.02
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	1000
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	1000
445	1000
446	1000
447	1000
448	1000
449	1000
450	1000
451	1000
452	1000
453	1000
454	1000
455	1000
456	1000
457	1000
458	1000
459	999.996
460	999.992
461	999.938
462	999.902
463	999.738
464	999.352
465	998.82
466	997.098
467	994.234
468	990.332
469	981.742
470	966.777
471	943.523
472	906.668
473	868.902
474	841.645
475	752.398
476	698.121
477	602.465
478	518.082
479	421.496
480	343.176
481	285.543
482	208.102
483	156.469
484	102.379
485	75.1484
486	45.6836
487	27.4687
488	17.543
489	9.66406
490	5.21094
491	2.60156
492	1.3125
493	0.609375
494	0.351563
495	0.125
496	0.105469
497	0.0273438
498	0.0078125
499	0.0078125
500	0
501	0
502	0
503	0.00390625
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
