# pulse height: 40
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1.00391
287	1
288	1.01172
289	1.01563
290	1.01563
291	1.03906
292	1.05078
293	1.08203
294	1.12109
295	1.17578
296	1.26953
297	1.31641
298	1.40625
299	1.48047
300	1.57422
301	1.70703
302	1.83594
303	1.83594
304	2.07422
305	2.33203
306	2.57812
307	3.01172
308	3.6875
309	4.54687
310	6.05078
311	8.1875
312	13.0781
313	21.7461
314	32.332
315	44.0938
316	84.8203
317	129.539
318	169.48
319	255.535
320	326.203
321	416.285
322	487.328
323	582.293
324	652.637
325	734.598
326	812.59
327	855.43
328	899.41
329	928.66
330	959.859
331	976.719
332	986.309
333	993.195
334	996.328
335	998.57
336	999.605
337	1000.35
338	1000.8
339	1000.9
340	1000.97
341	1000.98
342	1000.99
343	1001
344	1001
345	1001
346	1001
347	1001
348	1001
349	1001
350	1001.01
351	1001
352	1001.01
353	1001.01
354	1001.01
355	1001
356	1001.01
357	1001.03
358	1001.04
359	1001.07
360	1001.09
361	1001.15
362	1001.18
363	1001.16
364	1001.24
365	1001.55
366	1001.68
367	1002.08
368	1002.31
369	1003.1
370	1003.72
371	1005.51
372	1006.8
373	1008.91
374	1015.12
375	1022.75
376	1038.43
377	1073.49
378	1166.29
379	1285.46
380	1547.9
381	1949.26
382	2483.2
383	3211.77
384	3902.58
385	4567.79
386	5266.91
387	5660.09
388	5648.04
389	5371.27
390	4813.7
391	4058.91
392	3390.43
393	2617.09
394	2143.16
395	1738.59
396	1469.8
397	1255.76
398	1143.5
399	1074.19
400	1036.64
401	1020.19
402	1007.99
403	1002.72
404	1001.4
405	1000.44
406	1000.18
407	1000.04
408	1000.01
409	1000.02
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	1000
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	999.996
442	999.973
443	999.941
444	999.84
445	999.449
446	998.641
447	997.191
448	995.727
449	991.094
450	983.305
451	972.504
452	948.332
453	930.359
454	886.172
455	834.707
456	762.336
457	692.562
458	632.184
459	534.352
460	441.906
461	365.313
462	291.484
463	203.223
464	153.609
465	107.391
466	71.3711
467	46.9141
468	26.5352
469	16.8867
470	10.293
471	5.55859
472	2.44531
473	1.39063
474	0.660156
475	0.328125
476	0.171875
477	0.078125
478	0.0195313
479	0.0078125
480	0
481	0.00390625
482	0.00390625
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
