# pulse height: 60
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1
283	1
284	1
285	1
286	1
287	1
288	1
289	1
290	1
291	1
292	1
293	1
294	1
295	1
296	1
297	1
298	1
299	1
300	1
301	1
302	1
303	1
304	1
305	1
306	1
307	1
308	1
309	1
310	1
311	1
312	1
313	1
314	1
315	1
316	1
317	1
318	1
319	1
320	2
321	2
322	3
323	4
324	8
325	10
326	18
327	30
328	45
329	77
330	104
331	153
332	204
333	264
334	348
335	386
336	461
337	537
338	637
339	700
340	779
341	830
342	889
343	930
344	951
345	972
346	984
347	991
348	994
349	998
350	999
351	1000
352	1000
353	1000
354	1001
355	1001
356	1001
357	1001
358	1001
359	1001
360	1001
361	1001
362	1001
363	1001
364	1001
365	1001
366	1001
367	1001
368	1001
369	1001
370	1002
371	1002
372	1002
373	1003
374	1003
375	1004
376	1004
377	1005
378	1007
379	1008
380	1010
381	1012
382	1015
383	1021
384	1024
385	1032
386	1046
387	1071
388	1092
389	1145
390	1191
391	1276
392	1414
393	1667
394	1897
395	2252
396	2778
397	3254
398	3598
399	3849
400	4023
401	4207
402	4266
403	4129
404	3931
405	3627
406	3167
407	2838
408	2548
409	2185
410	1876
411	1591
412	1419
413	1278
414	1165
415	1086
416	1044
417	1022
418	1014
419	1005
420	1002
421	1001
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	999
444	1000
445	1000
446	999
447	999
448	999
449	999
450	999
451	998
452	997
453	994
454	989
455	980
456	970
457	950
458	916
459	883
460	839
461	768
462	701
463	609
464	544
465	444
466	350
467	275
468	197
469	151
470	105
471	65
472	51
473	30
474	20
475	11
476	7
477	5
478	3
479	2
480	2
481	1
482	1
483	1
484	1
485	1
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	1
513	0
514	1
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	1
523	0
524	0
525	0
526	1
527	1
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	1
537	0
538	1
539	0
540	1
541	0
542	1
543	0
544	0
545	0
546	1
547	1
548	0
549	0
550	1
551	1
552	1
553	1
554	1
555	1
556	0
557	0
558	1
559	1
560	0
561	0
562	1
563	0
564	0
565	0
566	0
567	0
568	1
569	1
570	1
571	1
572	1
573	0
574	1
575	1
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
