# pulse height: 50
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1.00391
279	1
280	1
281	1
282	1
283	1.00391
284	1.01172
285	1.01563
286	1.01953
287	1.03516
288	1.05859
289	1.08594
290	1.12109
291	1.16797
292	1.30859
293	1.3125
294	1.44531
295	1.46094
296	1.62891
297	1.74609
298	1.82031
299	1.85938
300	2.07422
301	2.14453
302	2.33594
303	2.46875
304	2.78125
305	3.37891
306	4.32813
307	5.14063
308	8.36719
309	12.832
310	19.1953
311	30.1797
312	44.6758
313	70.6211
314	107.195
315	160.047
316	200.105
317	258.652
318	325.586
319	414.66
320	508.805
321	597.477
322	686.313
323	741.73
324	795.754
325	853.312
326	888.855
327	928.277
328	954.375
329	972.566
330	986.852
331	992.191
332	996.164
333	998.809
334	1000.1
335	1000.54
336	1000.8
337	1000.95
338	1000.96
339	1000.99
340	1001
341	1001
342	1001
343	1001
344	1001
345	1001
346	1001
347	1001
348	1001
349	1001
350	1001
351	1001
352	1001
353	1001
354	1001
355	1001
356	1001
357	1001
358	1001
359	1001
360	1001.01
361	1001
362	1001
363	1001
364	1001
365	1001.01
366	1001.01
367	1001.02
368	1001.02
369	1001.03
370	1001.05
371	1001.03
372	1001.07
373	1001.07
374	1001.09
375	1001.13
376	1001.25
377	1001.23
378	1001.4
379	1001.53
380	1001.67
381	1001.89
382	1002.18
383	1002.42
384	1003.04
385	1004.41
386	1007
387	1010.19
388	1015.21
389	1025.3
390	1055.68
391	1108.52
392	1197.04
393	1322.93
394	1624.65
395	1888.3
396	2360.25
397	2854.45
398	3633.63
399	4317.26
400	4835.66
401	5282.9
402	5539.63
403	5486.92
404	5114.66
405	4613.71
406	4049.61
407	3178.97
408	2831.93
409	2297.91
410	1925.27
411	1530.54
412	1312.38
413	1154.74
414	1096.64
415	1042.6
416	1026.92
417	1011.3
418	1004.29
419	1002.45
420	1000.74
421	1000.23
422	1000.09
423	1000.02
424	1000.01
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	1000
445	1000
446	1000
447	1000
448	1000
449	1000
450	1000
451	1000
452	1000
453	1000
454	1000
455	1000
456	1000
457	1000
458	1000
459	1000
460	1000
461	1000
462	1000
463	1000
464	1000
465	1000
466	1000
467	1000
468	1000
469	1000
470	1000
471	999.996
472	999.992
473	999.996
474	999.965
475	999.895
476	999.836
477	999.574
478	998.898
479	997.797
480	995.715
481	991.602
482	985.242
483	974.805
484	956.754
485	933.582
486	901.547
487	859.707
488	798.012
489	710.93
490	653.105
491	561.93
492	479.879
493	386.414
494	319.816
495	225.727
496	178.086
497	126.348
498	94.2539
499	61.8047
500	35.7266
501	24.2148
502	11.7031
503	8.28516
504	4.23047
505	2.4375
506	1.07422
507	0.546875
508	0.246094
509	0.117188
510	0.0664063
511	0.0234375
512	0.0078125
513	0.0078125
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0.5
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0.25
572	0
573	0
574	0.25
575	0.25
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
