# pulse height: 60
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1.00391
263	1
264	1
265	1.01172
266	1.00781
267	1.00781
268	1.03906
269	1.03516
270	1.11719
271	1.10937
272	1.14453
273	1.25
274	1.43359
275	1.4375
276	1.54297
277	1.69531
278	1.74609
279	1.80469
280	1.90234
281	2.03516
282	2.19922
283	2.28516
284	2.59766
285	3.00391
286	3.24219
287	3.98828
288	5.51172
289	8.14844
290	12.1328
291	17.5977
292	27.9297
293	44.1367
294	69.1367
295	96.0664
296	128.254
297	189.93
298	248.855
299	312.223
300	398.703
301	473.844
302	564.785
303	644.547
304	717.754
305	778.09
306	858.004
307	886.32
308	918.57
309	950.805
310	968.367
311	981.328
312	988.297
313	993.066
314	997.098
315	998.977
316	1000.07
317	1000.56
318	1000.89
319	1000.95
320	1000.96
321	1000.99
322	1001
323	1001
324	1001
325	1001
326	1001
327	1001
328	1001
329	1001
330	1001
331	1001
332	1001
333	1001
334	1001
335	1001
336	1001
337	1001
338	1001
339	1001
340	1001
341	1001
342	1001
343	1001
344	1001
345	1001
346	1001
347	1001
348	1001
349	1001
350	1001
351	1001
352	1001
353	1001
354	1001
355	1001
356	1001
357	1001
358	1001
359	1001
360	1001
361	1001
362	1001
363	1001
364	1001.02
365	1001.01
366	1001
367	1001.02
368	1001.02
369	1001.03
370	1001.04
371	1001.05
372	1001.05
373	1001.08
374	1001.1
375	1001.15
376	1001.2
377	1001.2
378	1001.36
379	1001.38
380	1001.68
381	1001.92
382	1001.98
383	1002.33
384	1003.29
385	1004.12
386	1005.45
387	1008.74
388	1012.73
389	1025.45
390	1049.64
391	1087.07
392	1171.74
393	1299.18
394	1557.2
395	1816.91
396	2265.4
397	2776.42
398	3730.65
399	4051.94
400	4647.96
401	5068.93
402	5332.02
403	5344.12
404	5068.61
405	4673.8
406	4090.62
407	3340.8
408	2816.25
409	2377.85
410	1878.62
411	1582.83
412	1315.25
413	1199.79
414	1112.7
415	1063.84
416	1036.17
417	1017.7
418	1007.09
419	1003.27
420	1001.28
421	1000.67
422	1000.23
423	1000.07
424	1000.03
425	1000.01
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	1000
445	1000
446	1000
447	1000
448	1000
449	1000
450	1000
451	1000
452	1000
453	1000
454	1000
455	1000
456	1000
457	1000
458	1000
459	1000
460	1000
461	1000
462	1000
463	1000
464	1000
465	1000
466	1000
467	1000
468	1000
469	1000
470	1000
471	1000
472	1000
473	1000
474	1000
475	1000
476	1000
477	1000
478	1000
479	1000
480	1000
481	1000
482	1000
483	1000
484	1000
485	1000
486	1000
487	1000
488	1000
489	999.996
490	1000
491	1000
492	1000
493	999.984
494	999.953
495	999.902
496	999.734
497	999.523
498	998.781
499	997.242
500	994.883
501	990.477
502	982.98
503	972.785
504	955.953
505	930.617
506	899.133
507	845.047
508	793.855
509	716.91
510	643.273
511	557.227
512	449.242
513	369.387
514	288.789
515	211.922
516	169.273
517	109.555
518	74.418
519	50.0977
520	33.168
521	17.1484
522	10.9102
523	6.10937
524	3.33594
525	2.04688
526	1.04688
527	0.566406
528	0.242188
529	0.121094
530	0.0546875
531	0.0390625
532	0.015625
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0.5
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0.75
559	0.75
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0.25
572	0
573	0
574	0.5
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
