# pulse height: 60
# THL 	 Mean hits
200	3.01172
201	3.10547
202	2.92188
203	4.19922
204	2.98047
205	3.08984
206	7.57031
207	16.832
208	39.8672
209	41.9102
210	40.4062
211	91.9102
212	37.9609
213	169.891
214	170.789
215	297.762
216	451.066
217	454.402
218	443.879
219	610.926
220	442.949
221	441.695
222	768.832
223	884.773
224	946.117
225	951.887
226	948.832
227	980.34
228	949.77
229	994.895
230	994.902
231	999.551
232	1000.73
233	1000.62
234	1000.71
235	1000.94
236	1000.77
237	1000.75
238	1001
239	1001
240	1001
241	1001
242	1001
243	1001
244	1001
245	1001
246	1001
247	1001
248	1001
249	1001
250	1001
251	1001
252	1001
253	1001
254	1001
255	1001
256	1001
257	1001
258	1001
259	1001
260	1001
261	1001
262	1001
263	1001
264	1001
265	1001
266	1001
267	1001.01
268	1001
269	1001
270	1001
271	1001
272	1001
273	1001
274	1001
275	1001.01
276	1001
277	1001
278	1001
279	1001.02
280	1001.07
281	1001.05
282	1001.05
283	1001.24
284	1001.07
285	1001.07
286	1001.47
287	1001.93
288	1002.64
289	1002.65
290	1002.71
291	1003.17
292	1003.27
293	1003.61
294	1003.53
295	1004.14
296	1004.84
297	1004.97
298	1005.04
299	1006.41
300	1005.02
301	1006.9
302	1010.2
303	1021.4
304	1065.55
305	1064.14
306	1067.3
307	1219.31
308	1071.96
309	1622.21
310	1670.71
311	2561.39
312	3851.15
313	3753.55
314	3830.83
315	4943.48
316	3690.39
317	3708.26
318	5548.51
319	4976.84
320	3716.35
321	3962.68
322	3830.14
323	2660.79
324	3813.94
325	1697.3
326	1687.25
327	1253.39
328	1073.34
329	1072.41
330	1078.95
331	1017.26
332	1073.77
333	1076.69
334	1003.41
335	1000.44
336	1000.06
337	1000.05
338	1000.12
339	1000
340	1000.09
341	1000
342	1000
343	1000
344	1000
345	1000
346	1000
347	1000
348	1000
349	1000
350	1000
351	1000
352	1000
353	1000
354	1000
355	1000
356	1000
357	1000
358	1000
359	1000
360	1000
361	1000
362	1000
363	1000
364	1000
365	1000
366	1000
367	1000
368	1000
369	1000
370	1000
371	1000
372	1000
373	1000
374	1000
375	1000
376	1000
377	1000
378	1000
379	1000
380	1000
381	1000
382	1000
383	1000
384	1000
385	1000
386	1000
387	1000
388	1000
389	1000
390	1000
391	1000
392	1000
393	1000
394	1000
395	1000
396	1000
397	1000
398	1000
399	1000
400	1000
401	1000
402	1000
403	1000
404	1000
405	1000
406	999.988
407	999.914
408	999.703
409	999.684
410	999.637
411	998.559
412	999.684
413	999.609
414	994.691
415	981.613
416	953.996
417	951.539
418	951.637
419	886.215
420	950.148
421	792.113
422	776.293
423	623.289
424	476.309
425	484.004
426	481.953
427	319.383
428	488.578
429	488.789
430	184.648
431	91.7344
432	41.3477
433	41.5352
434	42.1289
435	16.3906
436	43.8672
437	5.70703
438	5.19922
439	1.64844
440	0.414063
441	0.472656
442	0.570313
443	0.128906
444	0.417969
445	0.441406
446	0.0234375
447	0.00390625
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
