# pulse height: 25
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1.00391
244	1
245	1.00781
246	1.01172
247	1.01563
248	1.10547
249	1.03516
250	1.05078
251	1.125
252	1.05078
253	1.03906
254	1.27734
255	1.45703
256	1.67188
257	1.69531
258	1.62109
259	1.87891
260	1.69922
261	1.69141
262	2.14063
263	2.5
264	3.15234
265	3.11328
266	3.08984
267	4.95313
268	3.17187
269	3.27734
270	11.0469
271	27.082
272	72.0859
273	67.2266
274	70.2461
275	152.07
276	68.0547
277	66.6016
278	271.852
279	445.715
280	623.496
281	627.668
282	622.18
283	787.199
284	621.023
285	617.391
286	884.762
287	960.855
288	988.699
289	988.664
290	987.383
291	999.328
292	999.547
293	1002.96
294	1002.7
295	1004.07
296	1004.86
297	1005.17
298	1005.17
299	1007.02
300	1004.98
301	1007.46
302	1009.73
303	1019.47
304	1054.27
305	1048.78
306	1053.43
307	1168.49
308	1056.47
309	1556.47
310	1524.34
311	2327.59
312	3666.57
313	3694.99
314	3653.93
315	5087.51
316	3554.26
317	3727.53
318	5995
319	5639.77
320	4170.37
321	4150.62
322	4195.87
323	2690.54
324	4089.5
325	1636.92
326	1635.18
327	1215.9
328	1058.31
329	1053.37
330	1059.17
331	1010.31
332	1050.48
333	1046.34
334	1001.81
335	1000.31
336	1000.01
337	1000.06
338	1000.02
339	999.953
340	1000.03
341	999.836
342	999.809
343	999.539
344	998.816
345	998.82
346	998.801
347	996.379
348	998.723
349	998.668
350	988.43
351	967.453
352	921.113
353	927.645
354	922.902
355	846.977
356	710.207
357	707.305
358	706.164
359	544.258
360	373.199
361	381.43
362	379.406
363	215.445
364	371.066
365	244.273
366	112.641
367	45.543
368	16.4727
369	16.875
370	16.4102
371	5.30469
372	16.3281
373	1.34766
374	1.48047
375	0.296875
376	0.0820313
377	0.078125
378	0.0625
379	0.0117187
380	0.078125
381	0.0664063
382	0.00390625
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
