# pulse height: 50
# THL 	 Mean hits
200	1.01172
201	1.01563
202	1.01563
203	1.0625
204	1.03125
205	1.01953
206	1.09375
207	1.23047
208	1.36328
209	1.37109
210	1.40625
211	1.50391
212	1.31641
213	1.84375
214	1.88672
215	2.05469
216	2.30078
217	2.31641
218	2.37891
219	2.80078
220	2.28906
221	2.33984
222	3.63281
223	5.64453
224	11.957
225	12.3359
226	12.2344
227	27.8477
228	12.375
229	73.3125
230	72.1992
231	151.621
232	269.492
233	260.656
234	262.816
235	433.359
236	260.336
237	352.527
238	581.594
239	736.902
240	864.438
241	868.281
242	871.582
243	939.687
244	869.633
245	977.035
246	976.195
247	993.137
248	999.082
249	998.859
250	999.34
251	1000.54
252	999.141
253	998.73
254	1000.92
255	1001
256	1001
257	1001
258	1001
259	1001
260	1001
261	1001
262	1001
263	1001
264	1001
265	1001
266	1001
267	1001
268	1001
269	1001
270	1001
271	1001
272	1001
273	1001
274	1001.01
275	1001
276	1001
277	1001
278	1001.01
279	1001.02
280	1001.06
281	1001.07
282	1001.06
283	1001.15
284	1001.03
285	1001.08
286	1001.39
287	1001.82
288	1002.57
289	1002.5
290	1002.56
291	1003.17
292	1003.21
293	1003.71
294	1003.66
295	1004.21
296	1005.24
297	1004.87
298	1004.73
299	1006.41
300	1004.94
301	1008.39
302	1009.61
303	1018.52
304	1051.55
305	1051.96
306	1053.19
307	1186.02
308	1056.17
309	1552.66
310	1527.09
311	2317.7
312	3464.19
313	3646.82
314	3525
315	4895.61
316	3500.52
317	3445.68
318	5645.75
319	5406.18
320	4131.48
321	4088.52
322	4226.61
323	2789.4
324	4191
325	1746.62
326	1736.43
327	1221.25
328	1065.17
329	1060.76
330	1067.48
331	1013.48
332	1076.59
333	1069.59
334	1003.1
335	1000.45
336	1000.09
337	1000.07
338	1000.05
339	1000
340	1000.04
341	1000
342	1000
343	1000.01
344	1000
345	1000
346	1000
347	1000
348	1000
349	1000
350	1000
351	1000
352	1000
353	1000
354	1000
355	1000
356	1000
357	1000
358	1000
359	1000
360	1000
361	1000
362	1000
363	1000
364	1000
365	1000
366	1000
367	1000
368	1000
369	1000
370	1000
371	1000
372	1000
373	1000
374	1000
375	1000
376	1000
377	1000
378	1000
379	1000
380	1000
381	1000
382	1000
383	1000
384	999.992
385	999.98
386	1000
387	999.953
388	1000
389	999.988
390	999.801
391	999.23
392	997.078
393	997.281
394	997.059
395	990.547
396	997.02
397	997.031
398	974.125
399	935.238
400	859.773
401	860.477
402	866.703
403	727.656
404	850.891
405	857.523
406	566.48
407	403.203
408	241.59
409	246.137
410	243.188
411	133.109
412	231.715
413	225.203
414	53.9883
415	20.3789
416	5.94922
417	5.68359
418	5.76172
419	1.71094
420	5.59766
421	0.492188
422	0.429688
423	0.109375
424	0.0234375
425	0.0078125
426	0.0117187
427	0.0078125
428	0.0117187
429	0.0117188
430	0
431	0.00390625
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
