 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC  APmag  S-brt Ob-lon Ob-lat    S-O-T /r    S-T-O     PlAng
*********************************************************************************************************
 2015-Jun-20 00:00   05 52 02.13 +23 25 20.5 -26.71 -10.59 328.72   1.56   0.0000 /?   0.0000      n.a.
 2015-Jun-20 01:00   05 52 12.64 +23 25 22.6 -26.71 -10.59 328.17   1.56   0.0000 /?   0.0000      n.a.
 2015-Jun-20 02:00   05 52 23.15 +23 25 24.9 -26.71 -10.59 327.62   1.57   0.0000 /?   0.0000      n.a.
 2015-Jun-20 03:00   05 52 33.63 +23 25 27.2 -26.71 -10.59 327.07   1.57   0.0000 /?   0.0000      n.a.
 2015-Jun-20 04:00   05 52 44.10 +23 25 29.5 -26.71 -10.59 326.52   1.58   0.0000 /?   0.0000      n.a.
 2015-Jun-20 05:00   05 52 54.53 +23 25 31.9 -26.71 -10.59 325.97   1.58   0.0000 /?   0.0000      n.a.
 2015-Jun-20 06:00   05 53 04.94 +23 25 34.3 -26.71 -10.59 325.42   1.59   0.0000 /?   0.0000      n.a.
 2015-Jun-20 07:00   05 53 15.32 +23 25 36.6 -26.71 -10.59 324.86   1.59   0.0000 /?   0.0000      n.a.
 2015-Jun-20 08:00   05 53 25.67 +23 25 38.8 -26.71 -10.59 324.31   1.60   0.0000 /?   0.0000      n.a.
 2015-Jun-20 09:00   05 53 35.99 +23 25 40.9 -26.71 -10.59 323.76   1.60   0.0000 /?   0.0000      n.a.
 2015-Jun-20 10:00   05 53 46.30 +23 25 42.8 -26.71 -10.59 323.21   1.61   0.0000 /?   0.0000      n.a.
 2015-Jun-20 11:00   05 53 56.60 +23 25 44.5 -26.71 -10.59 322.66   1.61   0.0000 /?   0.0000      n.a.
 2015-Jun-20 12:00   05 54 06.89 +23 25 46.0 -26.71 -10.59 322.11   1.62   0.0000 /?   0.0000      n.a.
 2015-Jun-20 13:00   05 54 17.18 +23 25 47.3 -26.71 -10.59 321.55   1.62   0.0000 /?   0.0000      n.a.
 2015-Jun-20 14:00   05 54 27.48 +23 25 48.4 -26.71 -10.59 321.00   1.63   0.0000 /?   0.0000      n.a.
 2015-Jun-20 15:00   05 54 37.80 +23 25 49.3 -26.71 -10.59 320.45   1.63   0.0000 /?   0.0000      n.a.
 2015-Jun-20 16:00   05 54 48.15 +23 25 50.1 -26.71 -10.59 319.90   1.64   0.0000 /?   0.0000      n.a.
 2015-Jun-20 17:00   05 54 58.52 +23 25 50.8 -26.71 -10.59 319.35   1.64   0.0000 /?   0.0000      n.a.
 2015-Jun-20 18:00   05 55 08.92 +23 25 51.4 -26.71 -10.59 318.79   1.65   0.0000 /?   0.0000      n.a.
 2015-Jun-20 19:00   05 55 19.35 +23 25 52.0 -26.71 -10.59 318.24   1.65   0.0000 /?   0.0000      n.a.
 2015-Jun-20 20:00   05 55 29.80 +23 25 52.6 -26.71 -10.59 317.69   1.66   0.0000 /?   0.0000      n.a.
 2015-Jun-20 21:00   05 55 40.29 +23 25 53.2 -26.71 -10.59 317.14   1.66   0.0000 /?   0.0000      n.a.
 2015-Jun-20 22:00   05 55 50.79 +23 25 53.9 -26.71 -10.59 316.59   1.67   0.0000 /?   0.0000      n.a.
 2015-Jun-20 23:00   05 56 01.30 +23 25 54.8 -26.71 -10.59 316.04   1.67   0.0000 /?   0.0000      n.a.
 2015-Jun-21 00:00   05 56 11.82 +23 25 55.7 -26.71 -10.59 315.49   1.68   0.0000 /?   0.0000      n.a.
 2015-Jun-21 01:00   05 56 22.33 +23 25 56.8 -26.71 -10.59 314.94   1.68   0.0000 /?   0.0000      n.a.
 2015-Jun-21 02:00   05 56 32.83 +23 25 58.0 -26.71 -10.59 314.38   1.69   0.0000 /?   0.0000      n.a.
 2015-Jun-21 03:00   05 56 43.32 +23 25 59.2 -26.71 -10.59 313.83   1.69   0.0000 /?   0.0000      n.a.
 2015-Jun-21 04:00   05 56 53.78 +23 26 00.6 -26.71 -10.59 313.28   1.70   0.0000 /?   0.0000      n.a.
 2015-Jun-21 05:00   05 57 04.22 +23 26 01.9 -26.71 -10.59 312.73   1.70   0.0000 /?   0.0000      n.a.
 2015-Jun-21 06:00   05 57 14.62 +23 26 03.3 -26.71 -10.59 312.18   1.70   0.0000 /?   0.0000      n.a.
 2015-Jun-21 07:00   05 57 25.00 +23 26 04.5 -26.71 -10.59 311.63   1.71   0.0000 /?   0.0000      n.a.
 2015-Jun-21 08:00   05 57 35.35 +23 26 05.7 -26.71 -10.59 311.08   1.71   0.0000 /?   0.0000      n.a.
 2015-Jun-21 09:00   05 57 45.68 +23 26 06.7 -26.71 -10.59 310.52   1.72   0.0000 /?   0.0000      n.a.
 2015-Jun-21 10:00   05 57 55.98 +23 26 07.6 -26.71 -10.59 309.97   1.72   0.0000 /?   0.0000      n.a.
 2015-Jun-21 11:00   05 58 06.28 +23 26 08.3 -26.71 -10.59 309.42   1.73   0.0000 /?   0.0000      n.a.
 2015-Jun-21 12:00   05 58 16.56 +23 26 08.8 -26.71 -10.59 308.87   1.73   0.0000 /?   0.0000      n.a.
 2015-Jun-21 13:00   05 58 26.86 +23 26 09.0 -26.71 -10.59 308.32   1.74   0.0000 /?   0.0000      n.a.
 2015-Jun-21 14:00   05 58 37.16 +23 26 09.1 -26.71 -10.59 307.76   1.74   0.0000 /?   0.0000      n.a.
 2015-Jun-21 15:00   05 58 47.48 +23 26 09.0 -26.71 -10.59 307.21   1.75   0.0000 /?   0.0000      n.a.
 2015-Jun-21 16:00   05 58 57.82 +23 26 08.7 -26.71 -10.59 306.66   1.75   0.0000 /?   0.0000      n.a.
 2015-Jun-21 17:00   05 59 08.19 +23 26 08.4 -26.71 -10.59 306.11   1.76   0.0000 /?   0.0000      n.a.
 2015-Jun-21 18:00   05 59 18.59 +23 26 08.0 -26.71 -10.59 305.56   1.76   0.0000 /?   0.0000      n.a.
