 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC  APmag  S-brt Ob-lon Ob-lat    S-O-T /r    S-T-O     PlAng
*********************************************************************************************************
 2014-Oct-16 16:00   13 25 08.34 -08 56 44.3 -26.75 -10.59 337.97   5.77   0.0000 /?   0.0000      n.a.
 2014-Oct-16 17:00   13 25 17.64 -08 57 39.2 -26.75 -10.59 337.42   5.77   0.0000 /?   0.0000      n.a.
 2014-Oct-16 18:00   13 25 26.97 -08 58 34.0 -26.75 -10.59 336.87   5.76   0.0000 /?   0.0000      n.a.
 2014-Oct-16 19:00   13 25 36.33 -08 59 28.9 -26.75 -10.59 336.32   5.76   0.0000 /?   0.0000      n.a.
 2014-Oct-16 20:00   13 25 45.72 -09 00 23.7 -26.75 -10.59 335.77   5.76   0.0000 /?   0.0000      n.a.
 2014-Oct-16 21:00   13 25 55.13 -09 01 18.6 -26.75 -10.59 335.22   5.75   0.0000 /?   0.0000      n.a.
 2014-Oct-16 22:00   13 26 04.55 -09 02 13.6 -26.75 -10.59 334.67   5.75   0.0000 /?   0.0000      n.a.
 2014-Oct-16 23:00   13 26 13.99 -09 03 08.6 -26.75 -10.59 334.12   5.75   0.0000 /?   0.0000      n.a.
 2014-Oct-17 00:00   13 26 23.43 -09 04 03.6 -26.75 -10.59 333.57   5.74   0.0000 /?   0.0000      n.a.
 2014-Oct-17 01:00   13 26 32.87 -09 04 58.7 -26.75 -10.59 333.02   5.74   0.0000 /?   0.0000      n.a.
 2014-Oct-17 02:00   13 26 42.29 -09 05 53.9 -26.75 -10.59 332.47   5.74   0.0000 /?   0.0000      n.a.
 2014-Oct-17 03:00   13 26 51.70 -09 06 49.0 -26.75 -10.59 331.92   5.73   0.0000 /?   0.0000      n.a.
 2014-Oct-17 04:00   13 27 01.09 -09 07 44.2 -26.75 -10.59 331.37   5.73   0.0000 /?   0.0000      n.a.
 2014-Oct-17 05:00   13 27 10.45 -09 08 39.5 -26.75 -10.59 330.82   5.73   0.0000 /?   0.0000      n.a.
 2014-Oct-17 06:00   13 27 19.78 -09 09 34.7 -26.75 -10.59 330.27   5.72   0.0000 /?   0.0000      n.a.
 2014-Oct-17 07:00   13 27 29.09 -09 10 29.9 -26.75 -10.59 329.72   5.72   0.0000 /?   0.0000      n.a.
 2014-Oct-17 08:00   13 27 38.38 -09 11 25.0 -26.75 -10.59 329.17   5.72   0.0000 /?   0.0000      n.a.
 2014-Oct-17 09:00   13 27 47.64 -09 12 20.1 -26.75 -10.59 328.62   5.71   0.0000 /?   0.0000      n.a.
 2014-Oct-17 10:00   13 27 56.89 -09 13 15.1 -26.75 -10.59 328.07   5.71   0.0000 /?   0.0000      n.a.
 2014-Oct-17 11:00   13 28 06.12 -09 14 10.0 -26.75 -10.59 327.52   5.71   0.0000 /?   0.0000      n.a.
 2014-Oct-17 12:00   13 28 15.36 -09 15 04.9 -26.75 -10.59 326.97   5.70   0.0000 /?   0.0000      n.a.
 2014-Oct-17 13:00   13 28 24.61 -09 15 59.7 -26.75 -10.59 326.42   5.70   0.0000 /?   0.0000      n.a.
 2014-Oct-17 14:00   13 28 33.86 -09 16 54.4 -26.75 -10.59 325.87   5.70   0.0000 /?   0.0000      n.a.
 2014-Oct-17 15:00   13 28 43.14 -09 17 49.0 -26.75 -10.59 325.33   5.70   0.0000 /?   0.0000      n.a.
 2014-Oct-17 16:00   13 28 52.44 -09 18 43.6 -26.75 -10.59 324.78   5.69   0.0000 /?   0.0000      n.a.
 2014-Oct-17 17:00   13 29 01.76 -09 19 38.2 -26.75 -10.59 324.23   5.69   0.0000 /?   0.0000      n.a.
 2014-Oct-17 18:00   13 29 11.12 -09 20 32.7 -26.75 -10.59 323.68   5.69   0.0000 /?   0.0000      n.a.
 2014-Oct-17 19:00   13 29 20.50 -09 21 27.2 -26.75 -10.59 323.13   5.68   0.0000 /?   0.0000      n.a.
 2014-Oct-17 20:00   13 29 29.91 -09 22 21.8 -26.75 -10.59 322.58   5.68   0.0000 /?   0.0000      n.a.
 2014-Oct-17 21:00   13 29 39.35 -09 23 16.3 -26.75 -10.59 322.03   5.68   0.0000 /?   0.0000      n.a.
 2014-Oct-17 22:00   13 29 48.80 -09 24 10.9 -26.75 -10.59 321.48   5.67   0.0000 /?   0.0000      n.a.
