Timestamp	Horizontal A.E.	Vertical A.E.	Horizontal M.E.	Vertical M.E.	Date	Time
 3596396403.648	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:00:03
 3596397003.855	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:10:03
 3596397603.874	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:20:03
 3596398204.362	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:30:04
 3596398804.366	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:40:04
 3596399404.370	   96.240000	    0.004600	       18995	       26464	18/12/2017	00:50:04
 3596400004.374	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:00:04
 3596400604.393	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:10:04
 3596401204.397	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:20:04
 3596401804.401	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:30:04
 3596402404.405	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:40:04
 3596403004.893	   96.240000	    0.004600	       18995	       26464	18/12/2017	01:50:04
 3596403604.897	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:00:04
 3596404204.901	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:10:04
 3596404804.905	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:20:04
 3596405404.924	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:30:04
 3596406005.412	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:40:05
 3596406605.416	   96.240000	    0.004600	       18995	       26464	18/12/2017	02:50:05
 3596407205.436	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:00:05
 3596407805.924	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:10:05
 3596408405.943	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:20:05
 3596409005.947	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:30:05
 3596409605.951	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:40:05
 3596410205.955	   96.240000	    0.004600	       18995	       26464	18/12/2017	03:50:05
 3596410805.959	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:00:05
 3596411405.963	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:10:05
 3596412005.966	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:20:05
 3596412605.970	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:30:05
 3596413206.458	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:40:06
 3596413806.462	   96.240000	    0.004600	       18995	       26464	18/12/2017	04:50:06
 3596414406.466	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:00:06
 3596415006.470	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:10:06
 3596415606.474	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:20:06
 3596416206.493	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:30:06
 3596416806.497	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:40:06
 3596417406.501	   96.240000	    0.004600	       18995	       26464	18/12/2017	05:50:06
 3596418006.505	   96.240000	    0.004500	       18995	       26464	18/12/2017	06:00:06
 3596418606.509	   96.240000	    0.004600	       18995	       26464	18/12/2017	06:10:06
 3596419206.512	   96.240000	    0.004600	       18995	       26464	18/12/2017	06:20:06
 3596419806.516	   96.240000	    0.004600	       18995	       26464	18/12/2017	06:30:06
 3596420406.520	   96.240000	    0.004600	       18995	       26464	18/12/2017	06:40:06
 3596421006.524	   96.240000	    0.004600	       18995	       26464	18/12/2017	06:50:06
 3596421606.528	   96.240000	    0.004600	       18995	       26464	18/12/2017	07:00:06
 3596421632.028	   96.240500	    0.004600	       18996	       26464	18/12/2017	07:00:32
 3596421632.528	   96.241500	    0.004600	       18996	       26464	18/12/2017	07:00:32
 3596421634.028	   96.244000	    0.004500	       18998	       26462	18/12/2017	07:00:34
 3596421634.528	   96.246000	    0.004400	       18999	       26459	18/12/2017	07:00:34
 3596421635.606	   96.248000	    0.004000	       19002	       26452	18/12/2017	07:00:35
 3596421636.591	   96.253000	    0.002400	       19004	       26442	18/12/2017	07:00:36
 3596421637.544	   96.259000	   -0.000700	       19006	       26430	18/12/2017	07:00:37
