# pulse height: 35
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1
234	1
235	1
236	1
237	1
238	1
239	1
240	1
241	1
242	1
243	1
244	1
245	1
246	1
247	1
248	1
249	1
250	1
251	1
252	1
253	1
254	1
255	1
256	1
257	1
258	1
259	1
260	1
261	1
262	1
263	1
264	1
265	1
266	1
267	1
268	1
269	1
270	1
271	1
272	1
273	1
274	1
275	1
276	1
277	1
278	1
279	1
280	1
281	1
282	1.00391
283	1.00391
284	1.00391
285	1.00391
286	1
287	1.00391
288	1.01172
289	1.01953
290	1.05078
291	1.05859
292	1.07422
293	1.10547
294	1.16797
295	1.20312
296	1.21484
297	1.26172
298	1.35156
299	1.39844
300	1.59375
301	1.56641
302	1.69531
303	1.82031
304	1.96875
305	2.14063
306	2.25781
307	2.67969
308	3.16406
309	3.84766
310	5.88672
311	8.67578
312	12.0781
313	17.7422
314	28.1094
315	41.6953
316	54.6055
317	80.6172
318	104.602
319	141.531
320	185.313
321	244.512
322	301.895
323	400.238
324	467.523
325	565.461
326	659.187
327	709.215
328	794.398
329	831.125
330	891.043
331	922.289
332	948.297
333	966.754
334	980.133
335	989.305
336	994.848
337	998.055
338	999.656
339	1000.3
340	1000.75
341	1000.89
342	1000.95
343	1001.01
344	1001.01
345	1001.04
346	1001.07
347	1001.06
348	1001.06
349	1001.13
350	1001.14
351	1001.23
352	1001.28
353	1001.38
354	1001.56
355	1001.79
356	1002.13
357	1002.34
358	1002.84
359	1003.41
360	1003.93
361	1005.55
362	1006.85
363	1008.63
364	1012.8
365	1022.4
366	1040.42
367	1072.84
368	1120.14
369	1194.64
370	1313.93
371	1548.78
372	1781.41
373	2253.09
374	2835.8
375	3349.73
376	4156.29
377	4688.98
378	5211.02
379	5601.68
380	5692.9
381	5531.28
382	5009.09
383	4454.12
384	3600.57
385	3010.65
386	2181.19
387	2139.5
388	1501.19
389	1273.04
390	1142.97
391	1134.95
392	1044.78
393	1019.71
394	1007.83
395	1007.85
396	1001.91
397	1000.69
398	1000.21
399	1000.16
400	1000.02
401	1000.02
402	1000
403	1000.01
404	1000
405	1000
406	1000
407	1000
408	1000
409	1000
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	999.988
422	999.969
423	999.961
424	999.891
425	999.754
426	999.422
427	998.5
428	997.109
429	994.59
430	989.527
431	981.977
432	976.359
433	955.641
434	931.875
435	890.164
436	852.984
437	810.727
438	757.73
439	664.48
440	590.305
441	505.664
442	405.172
443	374.234
444	264.902
445	186.426
446	150.398
447	145.027
448	66.668
449	40.5195
450	23.8047
451	14.5703
452	9.45313
453	4.12109
454	2.19531
455	1.25781
456	0.699219
457	0.300781
458	0.160156
459	0.0976562
460	0.0234375
461	0.015625
462	0.00390625
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
