# pulse height: 60
# THL 	 Mean hits
200	1
201	1
202	1
203	1
204	1
205	1
206	1
207	1
208	1
209	1
210	1
211	1
212	1
213	1
214	1
215	1
216	1
217	1
218	1
219	1
220	1
221	1
222	1
223	1
224	1
225	1
226	1
227	1
228	1
229	1
230	1
231	1
232	1
233	1.00391
234	1
235	1.00781
236	1
237	1.00391
238	1.00391
239	1.02734
240	1.01563
241	1.02734
242	1.02344
243	1.05859
244	1.05469
245	1.07422
246	1.10547
247	1.14844
248	1.1875
249	1.21875
250	1.32031
251	1.39062
252	1.45703
253	1.57422
254	1.64453
255	1.78906
256	1.98047
257	2.02344
258	2.27344
259	2.4375
260	2.73828
261	3.36328
262	4.38281
263	5.75
264	7.89063
265	12.4414
266	18.832
267	22.8711
268	34.0156
269	45.7852
270	63.7188
271	86.2266
272	110.207
273	149.18
274	198.352
275	245.73
276	294.437
277	357.621
278	434.52
279	535.117
280	601.348
281	605.359
282	741.605
283	745.703
284	854.172
285	892.25
286	928.324
287	930.117
288	967.113
289	981.184
290	990.371
291	993.121
292	996.828
293	998.926
294	1000
295	1000.61
296	1000.8
297	1000.89
298	1000.96
299	1000.95
300	1001
301	1000.99
302	1001
303	1001
304	1001
305	1001
306	1001
307	1001
308	1001
309	1001
310	1001
311	1001
312	1001
313	1001
314	1001
315	1001
316	1001
317	1001
318	1001
319	1001
320	1001
321	1001
322	1001
323	1001
324	1001
325	1001
326	1001
327	1001
328	1001
329	1001
330	1001
331	1001
332	1001
333	1001
334	1001
335	1001
336	1001.01
337	1001
338	1001.01
339	1001.01
340	1001
341	1001.01
342	1001.02
343	1001.01
344	1001.02
345	1001.06
346	1001.05
347	1001.1
348	1001.11
349	1001.14
350	1001.2
351	1001.22
352	1001.25
353	1001.36
354	1001.56
355	1001.85
356	1002.13
357	1002.36
358	1002.91
359	1003.52
360	1004.64
361	1005.77
362	1007.57
363	1012.61
364	1018.06
365	1028.18
366	1046.35
367	1086.12
368	1152
369	1253.29
370	1402.99
371	1628.77
372	1826.44
373	2367.36
374	2924.12
375	3488.4
376	4079.57
377	4758.54
378	5207.41
379	5335.69
380	5292.69
381	5063.79
382	4458.62
383	3941.46
384	3375.83
385	2697.78
386	2090.47
387	1969.5
388	1489.97
389	1298.7
390	1179.81
391	1149.02
392	1044.56
393	1030.27
394	1011.77
395	1008.74
396	1001.64
397	1000.8
398	1000.36
399	1000.31
400	1000.06
401	1000.02
402	1000
403	1000
404	1000
405	1000
406	1000
407	1000
408	1000
409	1000
410	1000
411	1000
412	1000
413	1000
414	1000
415	1000
416	1000
417	1000
418	1000
419	1000
420	1000
421	1000
422	1000
423	1000
424	1000
425	1000
426	1000
427	1000
428	1000
429	1000
430	1000
431	1000
432	1000
433	1000
434	1000
435	1000
436	1000
437	1000
438	1000
439	1000
440	1000
441	1000
442	1000
443	1000
444	1000
445	1000
446	1000
447	1000
448	1000
449	1000
450	1000
451	1000
452	1000
453	1000
454	1000
455	1000
456	1000
457	1000
458	1000
459	1000
460	1000
461	1000
462	1000
463	1000
464	1000
465	1000
466	1000
467	1000
468	1000
469	999.984
470	999.973
471	999.945
472	999.891
473	999.879
474	999.328
475	999.465
476	997.426
477	994.707
478	989.945
479	991.16
480	974.684
481	964.641
482	942.008
483	908.855
484	877.742
485	838.254
486	775.055
487	693.762
488	614.098
489	517.02
490	436.184
491	345.695
492	285.098
493	209.332
494	166.816
495	120.145
496	80.0664
497	53.4492
498	33.9531
499	21.9609
500	14.6406
501	8.70313
502	4.26172
503	2.17188
504	1.17578
505	0.539063
506	0.257812
507	0.1875
508	0.0703125
509	0.03125
510	0.0195312
511	0.0078125
512	0
513	0
514	0
515	0
516	0
517	0
518	0
519	0
520	0
521	0
522	0
523	0
524	0
525	0
526	0
527	0
528	0
529	0
530	0
531	0
532	0
533	0
534	0
535	0
536	0
537	0
538	0
539	0
540	0
541	0
542	0
543	0
544	0
545	0
546	0
547	0
548	0
549	0
550	0
551	0
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	0
560	0
561	0
562	0
563	0
564	0
565	0
566	0
567	0
568	0
569	0
570	0
571	0
572	0
573	0
574	0
575	0
576	0
577	0
578	0
579	0
580	0
581	0
582	0
583	0
584	0
585	0
586	0
587	0
588	0
589	0
590	0
591	0
592	0
593	0
594	0
595	0
596	0
597	0
598	0
599	0
